,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,-9999,-9999,1217,1317,-9999,-9999,-9999,-9999,-9999,-9999,-9999,264,1895
1, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,333,851,1389,778,1389,199,1627,729,1671,318,900,359,1896
2, , , , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,855,1692,1103,884,2447,1453,788,467,726,941,0,350,1897
3, , , , , ,c, , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,2725,278,782,746,2353,1080,1481,1103,1105,404,1553,1306,1898
4, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,1831,936,700,1204,2056,987,1274,723,843,959,272,518,1899
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,770,1645,2809,814,531,846,1162,965,842,816,341,740,1900
6, , , , ,a,a, , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,507,289,279,1335,1069,907,599,673,284,1475,1648,226,1901
7, , , ,a, , , , , , ,b, , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,1679,227,1131,3041,992,840,749,1399,226,546,2096,265,1902
8, ,b, , ,a, , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,647,2080,754,858,947,997,1180,1379,1099,1006,344,376,1903
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,843,593,102,1306,1740,932,348,1533,633,326,1100,51,1904
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,686,567,897,1326,1187,787,1689,1400,1351,507,990,1057,1905
11, , ,a, ,a, , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,665,485,3070,1365,1812,409,765,878,2358,1696,1964,470,1906
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,2290,625,1022,837,1205,574,1752,697,1402,667,637,864,1907
13, , , , , , , , , , , , , ,2, , , , , ,2, , , , ,USH00154703, , , , , , , , , , , , ,591,1646,947,584,895,1889,749,782,913,1287,274,0,1908
14, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,889,2085,686,966,1185,1645,1058,1153,1975,338,453,457,1909
15, ,a, , , , , , , , , , ,2, , , , , , ,2, , , , ,USH00154703, , , , , , , , , , , , ,1158,1153,412,940,72,1361,1470,1214,1773,580,1249,986,1910
16, , , , , , , , , , , , ,2, ,2, , , , , , , ,2,2,USH00154703, , , , , , , , , , , , ,716,783,1227,2396,438,2494,405,996,495,1638,1400,950,1911
17, , , , , , , , , , , , , ,2, , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,731,866,94,960,1426,2014,767,1314,1217,1049,771,431,1912
18, , , , , , , , , , , , ,2, , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,3368,864,1016,518,1564,484,404,1060,271,693,495,1256,1913
19, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,359,1151,258,1293,619,854,414,226,652,1777,965,1399,1914
20,a, , ,a, , , , , , , , , ,2, , , ,2, , , , , , ,USH00154703, , , , , , , , , , , , ,1331,363,1301,2286,384,150,1619,1587,1199,1651,1002,881,1915
21, , , , , , , , , , , , , , , , , , , , , ,2,2, ,USH00154703, , , , , , , , , , , , ,1806,610,340,1116,592,752,1670,1191,863,330,747,565,1916
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00154703, , , , , , , , , , , , ,1895,779,500,512,1668,1902,577,739,755,1146,635,755,1917
23,c, , , , , , , , , , , , , , , , , , , , ,2, , ,USH00154703, , , , , , , , , , , , ,1085,335,533,1448,59,1091,779,558,906,1021,660,1090,1918
24, , , , , , , , , , , , , , , , , ,2,2, , , , ,2,USH00154703, , , , , , , , , , , , ,541,386,2433,1313,1296,1293,2804,633,471,732,208,2710,1919
25, , , , , , , , , , , , ,2,2, , ,2, ,2, ,2, , , ,USH00154703, , , , , , , , , , , , ,1887,536,475,567,1265,1476,940,475,1278,1255,894,322,1920
26, ,a,a, , , , , , , , , ,2, , , , , , , , ,2,2,2,USH00154703, , , , , , , , , , , , ,828,730,2551,1090,1637,1214,549,389,1123,1742,1212,947,1921
27, , , , , , , , , , , , ,2,2, , , ,2,2, , , , , ,USH00154703, , , , , , , , , , , , ,716,1092,798,1608,2039,909,1021,625,1664,216,1440,630,1922
