,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , ,2, ,2,2,2,2,2,2, ,USH00234904, , , , , , , , , , , , ,-9999,-9999,-9999,564,-9999,579,823,2443,2670,798,455,-9999,1875
1, , , , , , , , , , , , ,2,2,2, ,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,351,46,1095,-9999,610,688,925,3043,996,1344,1011,97,1876
2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,229,71,648,556,2652,1567,1631,2080,1260,1039,673,1971,1877
3, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,340,907,127,1016,655,869,853,704,660,305,452,401,1878
4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,267,122,1001,668,272,493,673,2675,1750,112,767,792,1879
5, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,582,411,638,246,470,546,922,165,940,1306,1110,569,1880
6, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,86,1090,516,605,678,538,1013,1509,533,569,1633,1293,1881
7, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,251,635,1041,343,445,983,1199,1463,1227,688,859,1001,1882
8, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,445,950,396,224,356,173,1582,2723,1742,729,318,1377,1883
9, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,432,381,384,622,493,729,1072,470,1844,1003,1737,1143,1884
10, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,475,353,348,292,107,1499,1186,2217,1453,1285,1654,688,1885
11, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,455,274,414,130,292,696,912,1184,79,302,853,437,1886
12, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,427,625,241,1082,277,620,569,1267,805,1219,1367,589,1887
13, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234904, , , , , , , , , , , , ,457,1016,437,467,838,1016,2159,747,1725,665,871,787,1892
14, , , , ,b, , , , , , ,a,2,2,2,2, ,2,2,2,2,2, , ,USH00234904, , , , , , , , , , , , ,81,249,452,38,441,1720,1577,622,4648,218,857,15,1893
15,a,a, ,a, ,a, , , , ,a, , , , , , , ,2, , , , , ,USH00234904, , , , , , , , , , , , ,749,373,345,355,618,603,447,2220,490,188,1546,480,1894
16,d, , ,b,c, , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,186,87,833,1438,325,434,1899,2405,1292,1236,219,48,1895
17, ,b, , ,b, , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,183,145,468,276,281,763,1365,881,1439,790,1404,475,1896
18, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,1002,394,455,466,687,796,592,1022,717,1011,287,63,1897
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,1087,458,734,420,1019,896,2236,1158,1371,1399,1753,1636,1898
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,96,470,334,519,722,1027,1529,1091,1578,1561,432,271,1899
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,161,1317,429,147,467,701,451,1173,1709,891,1269,1111,1900
22, , , , , , , , , ,c,b, , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,335,331,94,492,1120,979,381,196,900,468,615,323,1901
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,216,345,638,494,1004,396,1835,1542,2108,1356,914,617,1902
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,246,496,506,310,638,867,1817,769,808,1213,1428,792,1903
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,389,147,38,389,845,1657,2429,1368,1469,1366,696,503,1904
26, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,241,470,415,234,463,877,1161,277,1090,1121,2672,822,1905
27, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,495,1013,878,452,830,266,334,1072,330,688,305,104,1906
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00234904, , , , , , , , , , , , ,1267,218,345,340,869,677,1254,2366,1872,1030,573,456,1907
