,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,., , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,173,56,127,180,170,472,218,259,277,566,135,142,1885
1, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,201,33,137,127,124,798,145,257,84,351,269,241,1886
2, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,41,61,274,89,71,307,18,10,340,538,396,302,1887
3, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,114,97,442,53,152,107,213,13,130,376,41,422,1888
4, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,150,112,147,340,13,218,152,71,213,89,203,119,1889
5, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,203,198,147,165,142,345,41,8,180,351,173,358,1890
6, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,10,236,3,460,290,163,318,20,419,274,439,30,1891
7, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,249,239,66,168,409,269,356,5,307,94,0,132,1892
8, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00055722, , , , , , , , , , , , ,269,599,102,89,183,145,46,15,122,551,249,46,1893
9,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00055722, , , , , , , , , , , , ,33,274,0,269,196,38,28,36,193,475,152,244,1894
10,.,., , ,.,.,.,.,.,.,., ,B,B, , ,B,B,B,B,B,B,B,1,USH00055722, , , , , , , , , , , , ,318,13,636,330,71,79,8,193,386,295,168,312,1895
11, ,a, , , , , , , , , , , , , , , ,1, , , , , , ,USH00055722, , , , , , , , , , , , ,214,635,97,114,86,91,33,46,122,94,422,172,1896
12, , ,.,., , , , , , , , , ,1,1,1, , , , , , , , ,USH00055722, , , , , , , , , , , , ,158,544,114,76,867,246,380,109,480,88,625,282,1897
13,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00055722, , , , , , , , , , , , ,79,30,51,28,64,226,229,117,315,155,142,15,1898
14,.,., , ,.,.,.,.,., , , ,B,B, , ,B,B,B,B,B, , , ,USH00055722, , , , , , , , , , , , ,168,48,10,392,279,234,41,450,282,168,89,465,1899
15, , , , , , , , , , , ,., , , , , , , , , , , ,1,USH00055722, , , , , , , , , , , , ,13,112,120,13,66,241,51,111,0,126,325,318,1900
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00055722, , , , , , , , , , , , ,137,99,18,64,137,35,126,140,43,588,0,186,1901
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00055722, , , , , , , , , , , , ,105,148,81,214,26,66,322,64,229,277,102,25,1902
18, , , , , , , ,., , , , , , , , , , , ,1, , , , ,USH00055722, , , , , , , , , , , , ,86,242,0,300,304,30,33,127,231,95,492,5,1903
19, , , , , , , , , , ,., , , , , , , , , , , ,1, ,USH00055722, , , , , , , , , , , , ,216,97,0,59,218,8,170,218,169,269,203,289,1904
20,a,a, ,a,.,., ,e,e, , , , , , , ,1,1,1, , , , , ,USH00055722, , , , , , , , , , , , ,354,363,227,56,406,229,300,178,142,221,251,120,1905
21, , ,a,a, , , ,e, ,b,b, , , , , , , , , , , , , ,USH00055722, , , , , , , , , , , , ,285,107,160,82,474,520,430,0,256,428,378,288,1906
22,.,., ,a,.,., , , , ,a, ,1,1, , ,1,1, , , , , , ,USH00055722, , , , , , , , , , , , ,320,318,0,140,193,137,241,214,168,663,130,259,1907
23,., , , ,a, , , , , , , ,1, , , , , , , , , , , ,USH00055722, , , , , , , , , , , , ,38,97,150,452,25,137,302,102,140,658,104,303,1908
