,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , ,2, , , ,2,2,2,2,2,USH00405187, , , , , , , , , , , , ,-9999,-9999,-9999,554,-9999,-9999,-9999,1148,472,1961,612,650,1888
1, , , , , , , , , , , , ,2, ,2,2, , ,2,2,2,2,2, ,USH00405187, , , , , , , , , , , , ,1224,-9999,1674,287,-9999,-9999,630,765,2159,1488,980,-9999,1889
2, , , , , , , , , , , , ,2,2,2,2,2,2, ,2,2,2,2,2,USH00405187, , , , , , , , , , , , ,1298,2139,229,991,1996,1024,1004,1057,813,813,1400,706,1890
3, , , , , , , , , , , , ,2,2, , ,2,2,2, ,2, ,2, ,USH00405187, , , , , , , , , , , , ,2012,1953,-9999,-9999,2151,1262,335,-9999,1092,848,97,-9999,1891
4, , , , , ,h, , , , , , , , , , , , , , , , ,1, ,USH00405187, , , , , , , , , , , , ,-9999,-9999,769,-9999,-9999,180,233,488,1801,1104,998,-9999,1898
5, , , , , , , , , , , , ,1, , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1735,1615,519,1687,1626,1187,636,184,1128,752,162,826,1899
6, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,855,1115,1055,542,905,1184,566,3418,1199,587,559,1629,1900
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1129,493,329,1406,769,1458,433,395,910,2526,1289,289,1901
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1448,844,1282,1326,3175,747,512,406,476,1577,1019,484,1902
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1006,1963,1240,1047,1021,1124,1442,910,1798,737,296,390,1903
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,666,375,755,1390,1922,694,786,673,636,316,858,437,1904
11, , , , , , ,i, , , , , ,1,1, , ,1,1, ,1,1, , , ,USH00405187, , , , , , , , , , , , ,1069,1138,251,1535,1316,772,1954,2177,892,1916,1199,1737,1905
12, , , , , , , , , , , , ,1, , ,1, , , , , ,1, , ,USH00405187, , , , , , , , , , , , ,1412,299,786,1613,1845,526,805,664,2361,1077,2253,861,1906
13, , , , , , , , , , , , ,1,1, , , , ,1, , , , , ,USH00405187, , , , , , , , , , , , ,490,886,1278,1086,1272,789,1481,620,2037,1046,1727,373,1907
14, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1161,1408,629,1114,1374,1072,1847,929,645,1612,790,211,1908
15, , , , , , , ,f, , , , , , , , , , , , , , , ,1,USH00405187, , , , , , , , , , , , ,889,2347,503,873,1226,1234,1198,1823,636,146,1231,729,1909
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1258,1124,275,1001,238,1320,1604,1314,1905,326,526,966,1910
17, , , , , , , , , ,i, , , ,1, ,1, , , ,1, , , , ,USH00405187, , , , , , , , , , , , ,1142,1384,1103,2568,642,1946,753,1372,1486,1427,765,734,1911
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,963,1570,525,1646,1966,3200,640,932,1616,1397,832,198,1912
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,2717,1321,330,707,2400,636,1046,1211,459,1092,816,749,1913
20, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,656,936,744,1950,1127,997,646,1101,1367,1188,280,907,1914
21, , , , , , , , , , , , ,1, , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1704,807,1834,1733,846,142,1324,536,886,2655,1209,894,1915
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1873,638,660,1731,871,635,1164,1744,2412,2006,289,617,1916
23, , , , , , , , , , , , , , , ,1, , , , , , , , ,USH00405187, , , , , , , , , , , , ,1585,808,259,485,2822,1220,1211,913,1342,763,1515,493,1917
24, , , , , , , , , , , , ,1, , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1831,514,865,968,510,1671,920,909,1310,273,868,1824,1918
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1359,610,1295,870,2074,600,2015,983,638,977,326,2255,1919
26, , , , , , , , , , , , , , , , ,1, , , , , , , ,USH00405187, , , , , , , , , , , , ,1520,1238,871,1005,2162,2038,1421,911,862,1683,679,168,1920
27, , , , , , , , , , , , , , , , ,1,1, , , , , , ,USH00405187, , , , , , , , , , , , ,729,1929,1570,584,1113,1529,804,787,635,1807,592,643,1921
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1067,1544,392,2822,3011,1539,1160,783,539,736,96,330,1922
29, , , , , , , , , , , , , , , , ,1, , , , ,1, , ,USH00405187, , , , , , , , , , , , ,1357,1432,785,1813,1763,1223,1916,946,404,2896,214,279,1923
30, , , , , , , , , , , , , ,1, , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1608,1415,239,1867,845,1058,1529,983,729,484,851,13,1924
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1224,891,1463,546,535,708,510,1046,693,247,870,2049,1925
32, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,865,653,1691,2662,815,606,1159,2344,465,2630,876,1360,1926
33, , , , , , , , , , , , ,1, , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1113,1152,1612,1536,1988,2100,1012,1102,620,899,82,641,1927
34, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,831,345,950,258,1818,1615,521,2080,581,1010,137,761,1928
35, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1282,1215,1395,748,2425,1369,1519,1466,1103,152,922,1154,1929
36, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,733,1293,1028,706,1213,292,2080,244,394,741,857,1009,1930
37, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,549,1375,847,2577,1329,548,543,689,955,575,84,440,1931
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1873,1779,720,1808,1417,1778,389,658,1763,765,737,2015,1932
39, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,591,1779,603,1354,1681,798,2158,377,1598,866,651,137,1933
40, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,780,623,691,740,2374,407,716,1443,995,326,1132,296,1934
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,877,1234,1418,424,1681,1087,864,1104,715,744,638,1105,1935
42, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,910,694,1225,1798,1784,1487,328,346,2368,227,653,1291,1936
43, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,3339,841,536,850,504,1281,1652,1266,1138,2397,837,1721,1937
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00405187, , , , , , , , , , , , ,1802,322,1507,618,1287,1099,858,1206,1658,633,731,203,1938
