,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , ,e, , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,-9999,-9999,392,1748,1973,2842,1055,1342,1687,1036,1074,211,1912
1, ,f, , , , , ,e, ,g,g, ,3, , , ,3,3,3, ,3, , , ,USH00402202, , , , , , , , , , , , ,2741,0,364,917,2388,630,1392,23,549,0,694,690,1913
2, , , , , , , , , , , , , , , , , , , , , , ,0, ,USH00402202, , , , , , , , , , , , ,1146,1668,359,2047,1175,990,432,1288,2072,1187,869,1220,1914
3, , , , , , , ,a,a, , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,1476,915,1600,1761,760,168,1092,1495,1669,1639,1450,991,1915
4, , , ,a,a, , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,2273,621,408,1324,680,903,1232,1991,2262,841,904,1061,1916
5, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,1995,1048,281,467,3115,856,1077,1215,1499,1020,1131,778,1917
6,a, , , , , , , , ,a, , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,1977,682,833,815,837,1912,1333,1310,1078,1032,571,1799,1918
7,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,968,691,1148,1036,1520,859,800,950,614,1128,179,1897,1919
8, , ,a,a, , , , , ,a, , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,1456,1027,1084,1351,1925,1633,776,1744,900,3952,1527,142,1920
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,865,2010,1360,620,1145,1324,1272,691,1796,984,910,299,1921
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,1351,888,360,1990,2462,2072,1399,1871,1803,2359,438,724,1922
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,967,1196,749,1315,1567,1314,1211,1217,1550,1596,570,196,1923
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,1329,1125,375,1879,886,1437,1397,601,731,633,1279,15,1924
13, , , , , , , , ,e, , , , , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,886,1331,1329,528,441,1088,-9999,510,851,343,302,2754,1925
14, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00402202, , , , , , , , , , , , ,751,663,1472,2818,982,462,625,1645,924,2737,571,699,1926
