,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , ,2,2, ,2, ,2,2,2,2, , , ,USH00127522, , , , , , , , , , , , ,584,193,-9999,648,-9999,792,919,889,508,-9999,-9999,-9999,1860
1, , , , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,USH00127522, , , , , , , , , , , , ,-9999,-9999,907,660,1778,729,953,48,1046,538,572,1333,1863
2, , , , , , , , , , , , ,2, , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,787,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1864
3, , , , , ,., , , , , , , , ,2,1, ,2,2,2,2,2,1,2,USH00127522, , , , , , , , , , , , ,-9999,-9999,1473,1270,-9999,445,406,457,76,787,483,140,1887
4, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00127522, , , , , , , , , , , , ,592,457,1473,825,970,699,914,1168,889,305,216,660,1888
5, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00127522, , , , , , , , , , , , ,686,762,1207,1029,318,307,1562,1455,1676,343,960,381,1889
6,., , , , , , , , , , , ,2,2,1,1,1,1,1,1,1,1,1,1,USH00127522, , , , , , , , , , , , ,1979,1346,455,221,841,800,988,1049,1054,1031,564,742,1890
7, , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,USH00127522, , , , , , , , , , , , ,290,886,1519,658,1204,986,251,389,173,1062,434,551,1891
8, , , , , , , , , , , , ,1,2,1,1,1,1,1,2,1,1,1,1,USH00127522, , , , , , , , , , , , ,450,983,874,373,488,1897,2045,1245,1077,866,432,74,1892
9, ,c, , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,353,1294,840,429,963,2504,1188,1047,414,211,772,490,1893
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,581,749,700,750,949,675,849,507,355,565,627,190,1894
11, , ,a, , , , , , , , , , , , , , , , ,1, , , , ,USH00127522, , , , , , , , , , , , ,430,160,1132,971,411,894,326,765,947,563,1183,155,1895
12, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,216,428,910,195,434,401,1180,1422,2123,993,1295,272,1896
13, , , , , , , , , , , , , , , , , , , , ,1, , , ,USH00127522, , , , , , , , , , , , ,1042,519,1549,1111,1306,1012,495,1347,1006,112,33,188,1897
14, , , , , , , , , , , , , ,1, , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1062,442,844,336,2273,660,900,1571,538,917,1555,1109,1898
15, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,592,471,1001,627,851,505,1463,1087,566,310,364,940,1899
16, , , , , , , , , , , , , , , , ,1, , , , , , , ,USH00127522, , , , , , , , , , , , ,114,828,944,262,386,259,1501,1770,1252,575,604,822,1900
17, , , , , , , , , ,a, , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,279,397,331,880,983,792,575,2012,79,880,206,1073,1901
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,99,335,843,790,769,316,913,1851,726,1362,1202,519,1902
19, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,392,766,365,417,568,1309,1258,1012,518,1535,498,620,1903
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1128,234,69,500,1653,1003,680,504,488,802,963,244,1904
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,411,419,516,509,499,859,1896,677,1688,846,1018,1246,1905
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,851,223,921,1003,1277,515,1361,655,629,1046,1723,325,1906
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1345,38,751,816,775,628,1055,959,1313,828,636,856,1907
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,353,947,828,341,976,1525,1839,419,765,186,256,54,1908
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,525,1071,658,619,493,1569,1133,1891,1750,845,504,1069,1909
26,a, , , , , , ,a, , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,494,550,760,283,3,805,1012,523,2797,581,1534,1004,1910
27, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,683,273,746,-9999,472,1087,216,833,519,651,2129,722,1911
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,672,686,656,203,871,1339,1061,624,1472,1222,366,590,1912
29, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1711,237,1297,247,2123,723,322,562,219,475,860,1008,1913
30, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,689,644,403,748,723,703,432,629,382,1344,551,422,1914
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,837,590,854,1099,347,373,1310,677,2295,2036,1156,330,1915
32, , , , , ,b, , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1903,300,540,868,638,485,1306,1614,268,555,507,458,1916
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,667,328,53,252,1152,960,1337,1680,947,488,544,1892,1917
34, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,731,586,722,1727,453,2122,692,940,409,754,1529,649,1918
35, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,262,618,1021,101,1078,781,894,487,364,246,598,2653,1919
36,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,360,353,242,971,943,1504,1029,648,492,431,472,571,1920
37, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,554,226,1601,955,1641,698,572,1541,1143,1662,1426,770,1921
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,277,363,486,1132,2306,2024,549,373,864,747,299,952,1922
39, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,597,367,491,1360,1183,666,1808,626,691,996,851,749,1923
40, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,903,517,404,1829,1005,891,1557,1760,274,2206,879,187,1924
41, , , , , , , ,a, ,a, , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,193,276,1224,344,1457,630,307,1195,971,660,1442,956,1925
42, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,625,677,637,376,786,924,719,474,1356,1847,2305,855,1926
43, ,a, , , , ,a, , ,a, , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,655,379,1246,1018,1356,1427,1453,847,537,1945,1937,863,1927
44, , ,d, , ,a, , , , , ,a, , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,511,933,381,520,470,639,855,1922,1100,890,967,831,1928
45, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1098,204,634,1209,873,1268,2412,1167,779,541,710,854,1929
46, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,2017,713,525,135,242,970,468,597,878,338,895,495,1930
47, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,244,425,1225,1116,680,553,790,1762,474,631,1652,903,1931
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1177,440,685,1076,414,532,279,1414,410,1008,1444,629,1932
49, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,564,516,135,574,1201,923,2946,51,310,605,975,539,1933
50, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,600,163,1076,445,866,752,249,1103,612,1234,1874,183,1934
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,785,131,965,279,1107,592,2643,1206,550,550,696,303,1935
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,276,864,704,789,545,753,484,221,404,503,1457,1294,1936
53, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,1887,502,513,751,383,1398,716,1179,1263,448,470,1278,1937
54, , , , , , , , , , , , , , , , , , , , , , , , ,USH00127522, , , , , , , , , , , , ,345,662,699,572,2236,889,1567,1042,1519,1524,232,224,1938
