,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,., , , , , , , , , , , ,2,2,2,2,2, ,2,2,2, , ,2,USH00142401, , , , , , , , , , , , ,381,203,130,69,183,-9999,381,940,1029,-9999,-9999,541,1886
1, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00142401, , , , , , , , , , , , ,198,127,43,244,163,472,414,889,729,584,831,833,1887
2, , , , , , , , , , , , ,2,2, , , ,2, , , , , , ,USH00142401, , , , , , , , , , , , ,117,107,-9999,-9999,-9999,767,-9999,-9999,-9999,-9999,-9999,-9999,1888
3, , , , , , , , , , , , , , ,2,2, , , , , , , ,2,USH00142401, , , , , , , , , , , , ,-9999,-9999,53,439,-9999,-9999,-9999,-9999,-9999,-9999,-9999,384,1892
4, , , , ,a, , , , , , , ,2,2, , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,20,71,269,0,228,191,520,858,744,185,692,0,1893
5, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,292,25,165,127,127,335,279,1673,434,325,1929,464,1894
6, , , , , , , , , , , , ,3, , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,152,-9999,634,609,551,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1895
7, , , , , , , , , , , , , ,2, , ,2, ,2, , , , , ,USH00142401, , , , , , , , , , , , ,152,76,-9999,-9999,914,1041,1295,1448,1589,132,-9999,-9999,1896
8,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,458,508,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1898
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,-9999,-9999,283,102,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1903
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,124,8,28,68,839,393,1342,2097,2761,909,811,111,1904
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,318,185,776,0,664,389,927,1019,2698,94,2077,539,1905
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,318,167,757,143,405,968,1627,730,1405,1593,1412,177,1906
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,921,516,292,420,234,266,1011,1099,518,953,244,1603,1907
14, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,69,689,812,38,241,433,1791,1883,772,1552,787,1009,1908
15, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,136,457,1898,473,668,586,1182,428,927,145,223,600,1909
16, , , , , , , , ,b, , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,298,241,0,218,20,431,1615,879,464,1038,797,83,1910
17, ,a, , , , , ,a, , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,23,1199,198,722,33,581,1305,53,1418,932,1839,704,1911
18, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,20,573,33,206,867,1300,1107,681,366,1209,851,634,1912
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,74,762,544,886,233,453,335,430,264,69,954,752,1913
20,b, , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,0,425,0,173,249,470,480,1270,775,766,686,553,1914
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,270,1098,152,208,516,1395,1784,1360,742,1482,2221,307,1915
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00142401, , , , , , , , , , , , ,548,161,762,150,409,755,1395,1720,711,330,185,610,1916
