,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , ,2,2, , , , , , , , ,USH00104845, , , , , , , , , , , , ,-9999,-9999,427,1232,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1892
1, , , , , , , , , , , , , ,2, , , ,2, , , , , , ,USH00104845, , , , , , , , , , , , ,-9999,734,-9999,-9999,-9999,64,-9999,-9999,-9999,-9999,-9999,-9999,1893
2, , , , , ,d, , , , , , , ,2, , ,2, , , , , , , ,USH00104845, , , , , , , , , , , , ,-9999,1003,3,502,495,272,107,204,107,20,-9999,-9999,1894
3, , , , , , , , , , , , , , , , , , ,2, , , , , ,USH00104845, , , , , , , , , , , , ,1230,117,-9999,-9999,458,74,470,26,26,44,687,0,1895
4, , , , , , , , , , , , , , , , , , , , , , , , ,USH00104845, , , , , , , , , , , , ,-9999,-9999,-9999,275,319,334,395,18,10,15,243,663,1900
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00104845, , , , , , , , , , , , ,1059,552,157,241,366,13,318,20,0,46,227,382,1901
6, , , , , , , , , , , , , , , , , , , , , , , , ,USH00104845, , , , , , , , , , , , ,138,1217,-9999,700,409,226,315,46,58,10,23,-9999,1902
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00104845, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,1962,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1903
8, , , , , , , , , , , , , , , , ,2, , , , , , , ,USH00104845, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,1963,493,-9999,-9999,526,125,61,-9999,1904
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00104845, , , , , , , , , , , , ,-9999,-9999,162,279,-9999,-9999,-9999,461,-9999,43,28,51,1905
