,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,.,., , , , , , , , , , ,8,8,8,8,8,8,8,8,8,8,8,8,USH00216152, , , , , , , , , , , , ,157,69,150,122,43,660,112,516,841,249,574,137,1885
1, , , , , , , , , , , , ,2,8,8,8,8,8,8,8,8,8,8,8,USH00216152, , , , , , , , , , , , ,150,173,345,213,46,442,79,759,752,808,434,147,1886
2, , , , , , , , , , , , ,8,8, , ,8, , ,8,8, , , ,USH00216152, , , , , , , , , , , , ,130,447,-9999,-9999,102,-9999,-9999,518,737,-9999,-9999,-9999,1887
3,.,., , , , , , , , , , ,8,8,8,8,8,8,8,8,8,8,8,2,USH00216152, , , , , , , , , , , , ,76,203,30,178,180,729,2220,856,1453,1842,970,0,1892
4, ,d,c, ,a, , , , , , , ,8, , , , , , ,8,8, , , ,USH00216152, , , , , , , , , , , , ,267,344,120,116,339,1380,587,483,381,555,495,226,1893
5,g, ,b,h,c, , , , , , , , , , , , , , , , , , ,8,USH00216152, , , , , , , , , , , , ,106,0,86,242,363,1166,1015,439,203,719,419,592,1894
6, ,c, , ,d, , , , , , ,b,8, , , , , ,8, , , , , ,USH00216152, , , , , , , , , , , , ,94,60,368,0,182,325,904,678,350,603,1049,0,1895
7, , ,d,b, , , , , , , ,c, , , , , , , , , , , , ,USH00216152, , , , , , , , , , , , ,176,45,530,64,486,1660,1164,1654,660,177,552,907,1896
8,a, , , ,b, , , , , , , , , , , , , , , , , , , ,USH00216152, , , , , , , , , , , , ,379,153,132,13,518,423,328,1380,1743,490,771,411,1897
9,b,a,a, , , , , , , , , , , , , , , , , , , , , ,USH00216152, , , , , , , , , , , , ,0,234,162,0,284,267,986,538,297,1225,291,1073,1898
10,d, , , ,e, , , , , , , , ,8, , , , ,8,8, , , , ,USH00216152, , , , , , , , , , , , ,153,183,163,411,295,138,475,1204,472,1384,223,625,1899
