,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,-9999,-9999,-9999,684,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1893
1, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,1776,747,191,1155,2456,1722,523,168,1347,701,201,663,1894
2,a,a, , , , , , , , , , , , , , ,1, , , , , , , ,USH00160537, , , , , , , , , , , , ,1322,269,981,1525,1971,341,1037,1981,581,1575,142,315,1895
3, , , , , , , , , , , , , , , , , , ,1, , , , , ,USH00160537, , , , , , , , , , , , ,882,1693,1303,112,1094,717,538,0,0,981,592,839,1896
4,a, , , , , , , , , , , , , , , , , , ,1, , , , ,USH00160537, , , , , , , , , , , , ,1504,924,761,2240,1963,386,762,1212,616,361,406,939,1897
5, , , , , , , , , , , , , , , , , , , ,1, ,1, , ,USH00160537, , , , , , , , , , , , ,1950,441,1628,676,881,1440,259,2449,1834,932,1658,1657,1898
6, , , , , , , , , , , , , , , , , , , , ,1, , , ,USH00160537, , , , , , , , , , , , ,1393,924,533,1082,1795,419,745,421,1166,380,163,338,1899
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,676,1509,-9999,-9999,1734,2681,800,-9999,-9999,-9999,-9999,-9999,1900
8, , , , , , , , , , , , , , , , , , , ,1, , , , ,USH00160537, , , , , , , , , , , , ,-9999,-9999,470,1325,-9999,1994,548,1433,1007,361,305,23,1921
9, , , , , , , , , , , , , ,1, , , ,1, , , , ,1, ,USH00160537, , , , , , , , , , , , ,1954,1224,1057,851,3150,1880,1494,1678,1451,378,282,165,1922
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,1144,1712,1232,2289,1355,2299,1634,1277,803,310,1076,1009,1923
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,1237,1342,0,1129,1100,849,1528,453,23,745,196,0,1924
12, , , , , , , , , , , , , ,1, , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,1531,561,2671,-9999,1511,35,350,603,1504,168,1728,1582,1925
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,-9999,-9999,1033,589,-9999,-9999,1453,498,391,551,523,914,1935
14, ,a, , , , , , , , , , ,1, , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,970,554,1095,1475,624,1187,545,287,1231,203,107,716,1936
15,h, , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,3057,888,995,1577,1158,364,499,1218,666,642,725,2261,1937
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,1118,788,937,503,1392,2225,640,1291,1184,1302,99,236,1938
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,2745,1586,671,1295,664,572,912,442,1127,470,728,141,1939
18,a, , , , , , , , , , , , , , , , ,1, , , , , , ,USH00160537, , , , , , , , , , , , ,524,1473,2675,1513,678,3256,741,1589,1611,950,391,168,1940
19, , , , , , , , , , , , ,1,1, , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,688,953,1342,514,1272,1030,387,741,2197,624,373,2936,1941
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,486,526,285,2354,1401,1697,1046,1024,1045,479,711,542,1942
21,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00160537, , , , , , , , , , , , ,993,792,678,1042,1480,538,1106,484,589,328,1037,543,1943
