,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,115,153,218,317,102,221,73,0,107,71,0,114,1902
1, , , ,g, , , ,a, , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,349,381,0,40,409,111,453,0,35,28,66,96,1903
2, , , , ,e, , , , ,b, , , , , , , , , ,B, , , , ,USH00426135, , , , , , , , , , , , ,140,580,0,60,521,84,535,168,150,198,41,89,1904
3, , , , , ,a, , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,155,172,224,79,515,251,300,85,78,23,432,38,1905
4, , ,c, , , ,a, , ,a, , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,234,150,299,283,728,574,435,124,197,201,293,13,1906
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,313,278,135,340,285,137,307,271,64,204,61,218,1907
6, , , , , , , , , , , , ,B,B, , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,165,267,84,185,312,66,614,189,298,110,382,608,1908
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,589,157,360,283,234,308,175,0,181,823,343,66,1909
8, , , , , , , , , ,c, , , , ,B, , , , , , , , , ,USH00426135, , , , , , , , , , , , ,269,192,229,292,100,56,115,0,274,353,266,356,1910
9, ,b, , , , , , , , , ,c, , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,302,391,130,188,337,38,269,119,150,0,330,234,1911
10, , , , , , , , , , , , , , , , , , , , , , ,B, ,USH00426135, , , , , , , , , , , , ,55,58,165,54,720,336,239,130,166,72,99,779,1912
11, , , , , , , , , , , , , ,B,B, , , , ,B, , , , ,USH00426135, , , , , , , , , , , , ,128,894,478,238,167,113,82,284,202,124,274,325,1913
12, , , , , , , , , , , , ,B, , , , ,B, ,B,B, , , ,USH00426135, , , , , , , , , , , , ,610,77,8,185,149,688,264,488,406,36,28,421,1914
13, , , , , , , , , , , , , , , , ,B,B, , , , , , ,USH00426135, , , , , , , , , , , , ,184,999,78,115,130,358,602,173,0,73,447,53,1915
14, , ,., ,.,.,.,.,.,.,., ,B, ,B, ,B,B,B,B,B,B,B,B,USH00426135, , , , , , , , , , , , ,693,156,74,269,356,86,76,66,61,53,137,419,1916
15, , ,., ,., , , ,.,.,.,., ,B,B, ,B, , ,B,B,B,B,B,USH00426135, , , , , , , , , , , , ,134,241,147,43,203,186,450,0,483,3,48,3,1917
16, , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B,B, ,B,USH00426135, , , , , , , , , , , , ,274,127,282,107,163,213,150,140,229,66,364,305,1918
17, , , , , , , , , , , , ,B,B, ,B,B,B,B,B,B,B,B,B,USH00426135, , , , , , , , , , , , ,0,251,289,132,284,211,422,0,36,208,442,414,1919
18, , , , , , , , , , , , ,B,B,B,B,B,B,B,B, , ,B, ,USH00426135, , , , , , , , , , , , ,224,198,315,86,445,594,478,76,48,463,109,762,1920
19, , , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B, ,B,USH00426135, , , , , , , , , , , , ,243,107,64,264,345,429,434,51,345,312,307,254,1921
20, , , , , , , , , , , , ,B,B, , ,B,B,B,B,B, ,2,B,USH00426135, , , , , , , , , , , , ,178,282,482,473,251,500,320,150,81,354,0,191,1922
21, ,a, , , , , , , , , , , , ,B,B, , , ,B, , ,B,B,USH00426135, , , , , , , , , , , , ,364,231,5,246,243,391,344,175,138,94,74,239,1923
22, , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B,B,B,B,USH00426135, , , , , , , , , , , , ,81,23,117,241,292,33,259,10,234,178,61,302,1924
23, , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B,B,B,B,USH00426135, , , , , , , , , , , , ,122,218,66,147,208,315,239,386,366,348,302,234,1925
24, , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B,B,B,B,USH00426135, , , , , , , , , , , , ,127,206,546,384,191,150,467,53,277,328,66,81,1926
25, , , , , , , , , , , , ,B,B, ,B,B, ,B, , , ,B, ,USH00426135, , , , , , , , , , , , ,254,325,355,216,307,501,201,291,172,102,325,409,1927
26, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,63,181,211,36,253,286,319,132,163,120,0,210,1928
27, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,272,298,99,109,426,605,114,274,134,534,324,49,1929
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,231,161,249,13,187,100,485,13,343,667,323,207,1930
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,46,215,417,234,91,173,80,74,132,402,117,178,1931
30, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,207,258,66,131,341,254,140,371,252,422,25,212,1932
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,81,79,102,137,163,291,480,0,270,6,56,23,1933
32, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00426135, , , , , , , , , , , , ,96,168,193,203,41,34,0,117,178,205,167,112,1934
