,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , ,2,USH00234850, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,79,1863
1, , , , , , , , , , , , , , ,2,2, ,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,-9999,-9999,968,572,-9999,1425,559,602,889,485,841,714,1864
2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,114,864,10,259,874,1882,1179,3089,2708,1638,2055,188,1865
3, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,318,424,734,815,559,2012,1402,1113,1999,1016,2459,1976,1866
4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,333,1666,218,251,1245,1247,2703,655,610,711,1328,442,1867
5, , , , , , , , , , , , ,2,2,2,2, ,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,127,122,1575,1234,-9999,638,1074,947,391,2276,1684,643,1868
6, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,1095,305,406,411,340,1138,820,2139,587,978,902,41,1869
7, , , , , , , , , , , , ,2, , , ,2,2,2,2,2,2,2, ,USH00234850, , , , , , , , , , , , ,127,-9999,-9999,-9999,246,160,701,508,531,1887,1044,-9999,1870
8, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,198,495,175,1003,531,683,1199,998,655,762,384,107,1878
9, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00234850, , , , , , , , , , , , ,127,152,1085,544,79,533,780,1247,1232,218,732,1110,1879
