,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,635,315,691,287,706,1237,269,1461,1176,970,1397,292,1880
1, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,518,1173,465,1730,257,191,442,1227,1481,521,1143,437,1881
2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,922,211,132,33,899,1811,1821,439,1737,2667,3109,445,1882
3, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,287,287,213,701,381,1803,470,2296,287,635,950,1194,1883
4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,348,2286,726,1280,1524,635,1143,2794,500,1435,335,231,1884
5, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,1135,747,1029,643,437,597,1364,1052,726,785,264,3200,1885
6, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,1514,912,1641,1054,1742,991,3216,2192,1557,1486,401,645,1886
7, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,615,1199,165,798,770,1323,1661,1361,1791,729,909,394,1887
8, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,488,668,693,462,1113,366,1280,1265,917,1783,1118,737,1888
9, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,1026,467,1316,58,528,973,2972,813,1692,711,1702,1087,1889
10, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,145,973,140,879,823,594,1443,1273,693,320,927,780,1890
11, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,1189,876,462,617,1494,643,1034,1006,1133,1100,513,226,1891
12, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00442208, , , , , , , , , , , , ,1194,483,998,688,1095,747,732,1387,798,726,754,48,1892
13, , , , , , , , , , , , ,2,2, , ,2, ,2, , , , , ,USH00442208, , , , , , , , , , , , ,290,1135,609,137,353,727,1265,821,813,1286,1385,1570,1893
14, , , , , ,a, ,a, ,a,a, , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,295,906,148,621,114,405,1448,328,570,432,1514,599,1894
15, , , , , , , , , ,d,a, , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,1117,270,361,700,529,987,779,758,1273,364,51,279,1895
16, , ,a, , , , , , , ,a, , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,444,864,1092,0,940,303,507,1352,1441,394,1994,41,1896
17, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,396,1433,607,830,609,433,1366,732,1055,173,109,646,1897
18, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,754,122,462,914,991,741,1256,1305,1588,2422,567,1876,1898
19, ,b, , , , , , , , , ,a, , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,476,932,231,255,1102,307,952,472,801,555,1119,445,1899
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,814,730,791,408,861,432,523,2033,879,0,820,623,1900
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,516,71,353,1615,982,1468,1298,3650,1228,1616,976,524,1901
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,576,1173,889,878,1233,427,847,737,440,899,691,782,1902
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,1083,868,180,292,1017,794,825,1639,1347,1314,727,509,1903
24, , , , , , , , , ,i, , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,556,396,203,605,617,620,803,1854,1749,920,320,234,1904
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,899,540,198,985,598,439,723,1613,2010,779,429,752,1905
26, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,651,256,456,905,1083,537,703,1778,834,1686,723,999,1906
27, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,512,450,1053,787,663,869,666,1974,974,1340,1476,186,1907
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,813,762,269,460,530,441,2090,1251,784,1263,663,578,1908
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,406,671,230,693,494,780,1031,1500,599,469,242,745,1909
30, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,800,710,203,527,275,925,733,2822,1676,1171,582,847,1910
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,1346,267,709,750,553,609,108,835,1348,1514,438,915,1911
32, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,463,569,429,891,1172,893,1069,710,787,445,1208,252,1912
33, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,615,318,1168,547,1259,1107,1133,1566,1212,1010,399,1003,1913
34, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,892,758,441,943,621,1036,418,378,1049,663,129,788,1914
35, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,1075,886,398,705,282,170,636,1106,1136,1645,786,1084,1915
36, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,439,445,254,697,870,750,1019,1600,1496,709,935,462,1916
37, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,500,486,66,437,1335,844,827,657,890,562,551,877,1917
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,952,194,294,894,855,1096,1008,1273,963,1085,709,596,1918
39, , , , , ,a, ,a, , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,678,472,549,508,684,609,1364,762,1030,858,320,634,1919
40, , , ,a, , , ,a, , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,516,446,861,701,645,893,372,523,1142,1497,685,48,1920
41, , ,d,a, , , ,a, , ,a,a, , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,468,316,626,492,364,407,924,726,1091,459,899,320,1921
42, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,541,926,93,711,1045,306,1154,1038,1401,1090,78,617,1922
43, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,709,250,597,374,510,731,354,531,633,1827,1174,196,1923
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,972,615,627,325,668,630,2204,1270,690,1021,1273,374,1924
45, , , , , , , , , ,b, , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,838,511,464,440,314,890,258,933,1798,313,299,723,1925
46, , , , , , , , , , , , , , , , , , , , , , , , ,USH00442208, , , , , , , , , , , , ,883,1068,821,829,518,717,707,455,2043,1623,897,788,1926
