,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,.,., , ,.,., , , , , , ,B,B,B,B,B,2,B,B,B,B,B,2,USH00291469, , , , , , , , , , , , ,84,74,0,51,33,0,33,625,259,1669,351,0,1894
1, , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B,B,B,B,USH00291469, , , , , , , , , , , , ,165,48,142,10,0,25,536,145,1143,531,79,457,1895
2, , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B,B,B,B,USH00291469, , , , , , , , , , , , ,36,173,0,208,0,0,0,653,259,165,729,564,1896
3, , , , , , , , , , , , ,B,B,2,2,B,B,B,B,B,B,B,B,USH00291469, , , , , , , , , , , , ,104,0,0,0,84,109,386,168,127,1280,193,51,1897
4, , , , , , , , , , , , ,B,B,B,B,B,B,B,B,B,B,B,B,USH00291469, , , , , , , , , , , , ,38,51,76,432,140,178,318,1400,1105,409,152,0,1898
5, , , ,., , , , , , , , ,B,B,B,B,B,B,2,B,B,2,B,B,USH00291469, , , , , , , , , , , , ,0,51,533,394,178,254,0,406,254,0,241,76,1899
6,., ,.,., ,.,.,.,.,.,.,.,B, ,B,B, ,B,B,B,B,B,B,B,USH00291469, , , , , , , , , , , , ,244,0,43,18,127,99,411,541,724,318,1143,762,1900
7,.,., , ,.,.,.,., , , , ,B,B,B, ,B,B,B,B,B, , , ,USH00291469, , , , , , , , , , , , ,53,284,56,51,0,246,264,56,726,343,282,746,1901
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,76,0,145,173,56,0,35,899,2668,1021,259,363,1902
9, , , , , , , , , , , , , , ,B, , , , , , , , , ,USH00291469, , , , , , , , , , , , ,84,89,0,0,0,130,0,1156,0,122,465,0,1903
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,41,28,244,71,0,0,145,1304,162,1012,1156,435,1904
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,234,508,364,162,861,526,143,523,981,470,528,257,1905
12, , , , , , , , , , , , , , , , , , , , ,B, , , ,USH00291469, , , , , , , , , , , , ,170,173,872,250,50,880,125,233,1750,336,349,114,1906
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,25,0,309,13,0,13,87,370,435,714,0,2052,1907
14, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,83,0,94,0,97,173,0,430,1829,503,241,0,1908
15, , , , , , , , , , , , , , , , , , , , , ,B, , ,USH00291469, , , , , , , , , , , , ,13,0,97,127,10,0,5,144,929,424,253,48,1909
16, , , , , , , , , , , , , , , , , , , ,B, , , , ,USH00291469, , , , , , , , , , , , ,24,0,30,20,10,30,51,5,231,394,123,87,1910
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,138,461,51,245,127,445,343,256,1518,313,295,84,1911
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,0,114,216,208,77,137,48,691,236,493,808,196,1912
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,46,71,307,201,246,338,36,998,178,213,998,262,1913
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,18,50,315,818,76,170,275,949,1202,117,351,496,1914
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,112,204,0,147,545,1280,71,345,290,319,1372,30,1915
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,76,30,140,30,25,340,15,0,1430,1735,76,1148,1916
23,b, , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,51,0,127,0,122,0,162,43,13,557,382,0,1917
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,145,0,430,108,0,0,98,41,365,342,64,407,1918
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00291469, , , , , , , , , , , , ,36,13,215,46,1115,417,193,325,87,196,1550,660,1919
