,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,.,.,b,a,., , , , , , , ,2,2, , ,2, , ,2, , , , ,USH00047195, , , , , , , , , , , , ,2129,1260,389,1289,1633,531,981,0,94,89,1593,112,1895
1, ,a, , ,a,d,a, , , , , , , , , , , , ,2, , , , ,USH00047195, , , , , , , , , , , , ,5282,165,2860,1615,2024,2800,1116,0,15,51,364,267,1896
2,a,b, , ,c, , , , , , , , , , , , , , , ,2, , , ,USH00047195, , , , , , , , , , , , ,703,2111,1558,1008,2166,252,0,406,0,0,160,766,1897
3, , ,a,a,c, , , , , , , ,2, , , , , , , , , , ,2,USH00047195, , , , , , , , , , , , ,307,2562,627,396,51,256,1009,468,33,0,21,439,1898
4, , , ,a, , , , , , , , , , , , , , , , ,2, , , ,USH00047195, , , , , , , , , , , , ,2223,209,2317,1931,2292,346,579,33,0,277,0,3017,1899
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,1705,475,2139,1194,1979,899,249,64,0,0,10,1863,1900
6,b, , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,2802,2086,1318,1075,648,1382,300,0,0,0,708,913,1901
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,249,4321,2008,1950,1078,732,287,0,102,0,5,1279,1902
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,2365,550,3576,945,1893,132,140,234,0,0,89,389,1903
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,625,5612,1051,2295,2752,501,187,0,13,30,1316,1218,1904
10, , , , , , , , , , , , , , , , , , , , , ,2, , ,USH00047195, , , , , , , , , , , , ,1564,1128,720,566,2253,386,366,226,0,43,221,36,1905
11, , , , , , , , , , , , ,2,2, , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,4026,2052,848,3527,3665,256,1689,633,30,110,120,43,1906
12, , , , , , , , , , , , , , , , , , , ,2, , , , ,USH00047195, , , , , , , , , , , , ,3023,1261,178,2451,7658,692,389,902,0,0,36,482,1907
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,1588,1058,808,710,1148,177,1542,208,13,0,94,877,1908
14, , , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,8933,2334,1380,2159,1030,46,176,143,0,0,338,959,1909
15, , , , , , , , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,1553,508,970,1248,641,0,15,0,0,0,508,564,1910
16, , , , , ,a, , , , , , , , , , , , , , , , , , ,USH00047195, , , , , , , , , , , , ,6161,808,432,648,1878,976,275,23,0,0,597,128,1911
