,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,-9999,-9999,252,262,204,289,-9999,-9999,1903
1, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,-9999,-9999,677,1250,-9999,420,389,661,346,0,1023,379,1913
2, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,0,120,82,524,155,450,1192,856,965,1763,100,188,1914
3, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,148,575,86,117,272,1291,1526,1610,892,690,1100,1423,1915
4, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,365,0,506,33,406,932,403,952,310,218,831,1068,1916
5, , , , ,a, , , , ,a, , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,76,127,36,0,46,775,524,76,373,1160,283,64,1917
6, , , , , , , , , , , , , , , , , , , ,1, , , , ,USH00340179, , , , , , , , , , , , ,154,102,335,1107,597,630,524,1410,346,165,629,2193,1918
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,63,331,506,172,712,1616,1242,1004,1002,376,651,2840,1919
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,452,300,598,178,471,411,1270,460,930,2152,793,772,1920
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,193,334,0,5,390,577,198,1590,135,295,425,5,1921
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,226,148,259,150,664,1455,1154,564,592,104,127,196,1922
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,193,72,292,193,446,549,955,1335,388,733,588,2459,1923
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,13,77,246,119,746,890,382,366,447,1087,116,620,1924
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,104,56,-9999,0,36,1203,909,427,1264,642,1565,792,1925
14, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,293,0,0,780,520,727,661,224,1032,1715,1468,1057,1926
15, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,422,317,51,330,256,622,686,1037,305,535,966,76,1927
16, , , , , , , , , , , , , , ,1, , , , , , , , , ,USH00340179, , , , , , , , , , , , ,125,401,1115,216,89,618,877,777,1278,43,127,-9999,1928
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,51,89,793,203,1044,127,1216,531,452,94,1326,508,1929
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,356,0,241,445,406,750,571,485,228,269,46,1857,1930
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,229,292,939,549,773,311,918,102,741,346,152,919,1931
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,516,317,76,1217,94,1122,321,1415,445,278,637,331,1932
21, , , , , , , , , , , , , , , , , , ,1, , , , , ,USH00340179, , , , , , , , , , , , ,38,483,290,338,201,64,841,381,450,1001,1167,142,1933
22, , , , , , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,USH00340179, , , , , , , , , , , , ,0,441,206,36,447,513,653,432,0,678,1222,112,1934
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,38,254,414,320,724,318,1933,823,186,419,314,421,1935
24, , , , , , , , , , , , , , , , , , , , , ,1,1, ,USH00340179, , , , , , , , , , , , ,156,0,13,68,0,268,680,110,0,0,2385,468,1936
25, , , , , , , , , , , , , , , , , , , , , ,1, , ,USH00340179, , , , , , , , , , , , ,243,0,97,134,576,752,751,1093,127,986,435,617,1937
26, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,120,-9999,356,46,558,193,1425,1204,453,8,140,249,1938
27, , , , , , , , , , , , , , ,1, , , , , , , , , ,USH00340179, , , , , , , , , , , , ,744,51,84,277,412,106,463,924,71,907,0,10,1939
28, , , , , , , ,a, , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,178,420,680,110,0,1125,364,328,186,656,871,666,1940
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,274,676,264,318,179,1199,2692,2754,300,990,699,2178,1941
30, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,15,178,102,405,285,1438,484,641,59,1258,1912,1469,1942
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,10,28,84,468,274,417,1565,516,16,46,215,424,1943
32, ,a, , , , , , , , , ,a, , , , , , , , , , ,1, ,USH00340179, , , , , , , , , , , , ,382,366,311,416,183,478,306,1169,1014,650,914,599,1944
33, , , , , , , , , , , , , , , ,1, , , , , , , , ,USH00340179, , , , , , , , , , , , ,582,383,61,61,427,1180,280,1537,417,341,605,211,1945
34, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,442,197,521,330,325,84,1264,691,229,949,625,654,1946
35, , ,a, , , , , , ,c, , , , , , , , , , , , ,1, ,USH00340179, , , , , , , , , , , , ,226,21,325,398,110,981,1876,757,549,165,132,452,1947
36,b, , , , , , , ,c,a, , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,122,515,110,18,326,214,581,755,783,324,-9999,305,1948
37, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,1080,210,0,266,260,458,1596,2681,208,534,1372,747,1949
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,150,388,0,0,3,198,733,948,2270,807,532,0,1950
39, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,106,300,155,3,231,268,1298,1023,475,394,454,214,1951
40, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,231,120,346,338,252,1158,601,184,373,76,33,0,1952
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,5,140,221,157,403,406,234,330,751,610,13,1913,1953
42, , , , ,a, , , , , ,a, , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,21,0,10,325,23,589,2174,404,28,28,0,252,1954
43, , , , , , , , , ,b, , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,303,302,0,8,480,122,2002,498,325,394,1087,1628,1955
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,64,217,53,354,115,120,1924,119,306,191,13,1064,1956
45, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,137,278,464,36,751,1920,3101,1430,599,117,401,734,1957
46, , ,.,., , , , , , , ,., , ,1,1, , , , , , , ,1,USH00340179, , , , , , , , , , , , ,619,143,99,135,797,635,367,1308,1254,447,263,79,1958
47,.,., , ,.,., , , , , , ,1,1, , ,1,1, , , , , , ,USH00340179, , , , , , , , , , , , ,23,25,84,781,84,472,2015,954,670,275,998,975,1959
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,293,459,0,932,418,41,666,1067,1026,919,424,2781,1960
49, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,38,518,733,193,1080,74,263,1215,511,386,716,525,1961
50, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,40,48,226,244,89,561,825,1240,496,18,1077,495,1962
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00340179, , , , , , , , , , , , ,10,82,633,107,375,227,972,1107,167,857,353,160,1963
