,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,254,371,229,254,528,175,94,41,287,119,234,178,1888
1,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,257,163,127,1194,239,145,353,58,0,536,127,241,1889
2,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,353,216,0,155,229,229,178,0,3,320,46,94,1890
3,.,., , ,.,., , , , , , ,B,B,2,2,B,B,2,2,2,2,2,2,USH00264950, , , , , , , , , , , , ,165,340,0,414,330,627,500,569,241,122,340,0,1891
4, , , , , , , , , , , , , ,2,2,2, , , , ,2, ,B,2,USH00264950, , , , , , , , , , , , ,127,58,74,152,444,102,241,100,170,26,0,89,1892
5, , , , , , , , , , , , ,2, , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,216,135,84,140,625,326,146,0,306,233,28,76,1893
6, , ,.,., , , , , ,.,.,., , ,B,B, , , , , ,B,B,B,USH00264950, , , , , , , , , , , , ,244,285,0,800,609,333,119,38,426,292,419,13,1894
7,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,533,610,406,51,419,470,673,64,69,165,89,203,1895
8,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,165,51,279,58,254,572,902,3,201,267,76,178,1896
9,.,., ,a, , , , , , , , ,B,B, , , , , , , ,2, , ,USH00264950, , , , , , , , , , , , ,305,953,335,356,109,114,196,5,46,10,6,550,1897
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,58,94,155,11,162,177,461,0,94,281,20,0,1898
11,., ,., , ,.,.,.,.,.,.,.,B, ,B, ,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,521,145,127,190,394,127,495,241,155,381,41,528,1899
12,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,51,46,155,3,109,1148,46,3,292,13,343,201,1900
13,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,279,356,114,183,152,305,216,91,91,620,127,389,1901
14,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,231,165,610,361,572,254,99,8,79,66,218,109,1902
15,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,191,102,91,86,25,295,554,46,3,46,279,140,1903
16,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,127,505,51,127,287,206,566,38,74,643,5,165,1904
17,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,46,391,239,74,391,102,432,23,94,251,135,0,1905
18,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,381,203,259,254,356,279,381,165,152,762,185,30,1906
19,.,.,.,.,., , , ,.,.,.,.,B,B,B,B,B, , , ,B,B,B,B,USH00264950, , , , , , , , , , , , ,381,254,178,254,330,71,359,453,127,203,178,203,1907
20, , ,.,.,.,.,.,.,.,.,.,., , ,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,170,293,71,51,58,3,282,173,229,251,274,41,1908
21,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,516,196,305,475,226,64,226,3,41,617,625,51,1909
22,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,345,198,81,157,33,76,18,0,239,246,211,175,1910
23,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00264950, , , , , , , , , , , , ,389,538,127,178,368,254,279,152,127,203,127,152,1911
24,.,., , ,.,.,.,.,., , , ,B,B, , ,B,B,B,B,B, , , ,USH00264950, , , , , , , , , , , , ,53,28,145,25,498,122,28,56,183,38,36,349,1912
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,175,178,257,222,63,301,198,377,584,272,51,165,1913
26, , , , ,a,a, , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,539,91,0,49,20,375,94,782,183,23,20,13,1914
27, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,92,257,61,155,46,414,698,51,18,56,43,0,1915
28, , , , , , , , , , , , ,B, , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,1171,175,102,424,286,48,162,74,46,86,20,544,1916
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,108,152,135,0,134,361,816,18,82,305,89,0,1917
30,a, , , , , ,a, , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,219,541,239,228,264,244,631,825,242,45,293,346,1918
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,0,430,253,107,228,74,280,0,85,62,337,163,1919
32, , , , , , , , , , , , ,B,B, ,B, , , , , , , , ,USH00264950, , , , , , , , , , , , ,33,363,99,259,327,145,333,171,317,415,75,355,1920
33, , , , , , , , , , , , , , , , , ,B, , ,B, , , ,USH00264950, , , , , , , , , , , , ,176,75,3,291,196,348,416,3,488,417,92,176,1921
34, , , ,a, , , , , , , , , ,B, , , , ,B, ,B, , , ,USH00264950, , , , , , , , , , , , ,186,211,229,295,262,358,239,217,147,582,0,292,1922
35, , , ,a, , , , , , , , , , , , , , , , , , ,B, ,USH00264950, , , , , , , , , , , , ,536,99,99,204,140,334,440,285,88,270,389,150,1923
36, , , , , , , , , , , , , , ,B, , ,B, , , , , , ,USH00264950, , , , , , , , , , , , ,71,38,135,271,221,163,36,0,5,258,265,327,1924
37, , , , ,a, , , , , , , , , , ,B, , , , , , , , ,USH00264950, , , , , , , , , , , , ,24,136,107,30,177,168,478,600,346,375,168,399,1925
38, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,36,270,147,96,148,194,252,119,183,233,82,51,1926
39, , , , , , , , , , , , , , , ,B, , , , , ,B, , ,USH00264950, , , , , , , , , , , , ,236,159,148,147,373,239,99,178,122,244,94,326,1927
40, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,169,24,123,79,211,152,160,345,53,115,0,236,1928
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,117,70,0,64,183,133,84,140,99,742,253,38,1929
42, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,75,489,160,18,196,275,802,51,134,298,246,406,1930
43, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,41,119,339,265,41,84,104,42,77,437,92,94,1931
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,432,217,0,210,33,401,81,174,325,211,25,33,1932
45, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,378,107,46,125,140,369,335,0,84,89,0,81,1933
46, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,86,89,468,328,38,43,33,75,131,51,290,152,1934
47, , ,a,a, , , , , , ,a, , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,145,280,0,256,267,303,257,0,33,69,119,51,1935
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,379,606,20,289,120,214,231,48,450,118,8,437,1936
49, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,298,182,131,288,99,191,48,79,770,216,427,170,1937
50, , , , , ,b, , , , , , , , , , , , , , , , , ,1,USH00264950, , , , , , , , , , , , ,172,229,117,193,614,168,462,36,238,173,39,483,1938
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,208,244,51,10,187,480,205,272,117,99,385,380,1939
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,561,231,64,11,216,271,15,165,0,25,547,76,1940
53, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,79,150,216,207,362,589,396,584,360,367,71,526,1941
54, , , , , , , , ,e, , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,270,73,163,30,328,218,144,6,0,53,0,135,1942
55, , , , , , , , , , , , , , , , , , , , , , , , ,USH00264950, , , , , , , , , , , , ,21,308,90,266,143,537,38,349,43,345,79,312,1943
