,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,-9999,-9999,2426,2286,-9999,-9999,-9999,-9999,-9999,229,427,1167,1896
1, , , , , , , , , , , , , , , , , , , ,B, , , , ,USH00457507, , , , , , , , , , , , ,1248,1138,2504,1498,1353,506,480,792,981,135,511,569,1897
2, , , , , , , , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,1005,1555,2258,1210,1342,851,455,1194,275,222,834,965,1898
3, , , , , , , , ,., , , , , , , , , , , ,2, ,B, ,USH00457507, , , , , , , , , , , , ,1636,2141,2561,2165,537,1420,1675,615,401,1314,244,1013,1899
4, , , , , , , , , , , , , , ,B, , , ,B, , , , , ,USH00457507, , , , , , , , , , , , ,1618,1509,823,803,743,774,986,1083,273,670,601,1573,1900
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,459,846,2098,1058,1060,839,887,736,231,3,709,1055,1901
6,., , , ,e, , , , , , , ,2, , , , , , , , , , ,2,USH00457507, , , , , , , , , , , , ,1638,1034,1986,1682,1569,846,977,204,646,578,926,602,1902
7, , , , , ,i, , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,1643,244,1842,1227,1341,1607,704,632,225,466,2118,925,1903
8,a, , , , , , , , , , , , , , , , , , , , ,B, , ,USH00457507, , , , , , , , , , , , ,1546,1781,1613,1371,1312,810,249,810,285,84,348,553,1904
9, , , , , , , ,., , , , , , , , , , , ,2, , , , ,USH00457507, , , , , , , , , , , , ,862,486,1249,1616,843,357,969,719,391,498,1370,1253,1905
10, , , , , , , , , , , , , , , , , , , , , , ,B, ,USH00457507, , , , , , , , , , , , ,953,739,1527,1605,326,273,1454,1089,130,89,1725,2153,1906
11, , , , , , , , , , , , , , , , , , , ,B, , , , ,USH00457507, , , , , , , , , , , , ,844,1667,1935,926,809,801,161,533,188,437,953,263,1907
12, , , , , , , , , , , , , ,B, , ,B,B, ,B, , , , ,USH00457507, , , , , , , , , , , , ,710,1425,1042,1070,1760,640,880,475,327,465,114,1585,1908
13, , , , ,., , , , , , , , , , , ,2, , , , , , ,B,USH00457507, , , , , , , , , , , , ,888,1245,2843,1207,744,509,511,125,472,89,643,1397,1909
14, , , , , , , , , , , , ,B,B, , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,1118,1184,1621,2096,1031,928,881,772,150,470,579,2141,1910
15, , , , , , , , , , , , , , ,B, , , , , , , , , ,USH00457507, , , , , , , , , , , , ,1953,925,3434,2511,405,579,1413,328,154,752,1341,274,1911
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,1139,826,1387,1645,407,742,934,769,300,1458,357,887,1912
17, , , , , , , , , , , , , , , , , , , , , , ,B, ,USH00457507, , , , , , , , , , , , ,2266,753,1560,595,666,347,511,1085,401,549,968,1856,1913
18, , , , , , , , , , , , , , ,B, , , , , , , , , ,USH00457507, , , , , , , , , , , , ,1801,868,1824,718,791,1110,351,1230,5,76,1432,870,1914
19, , , , , , , , , , , , , , , , , ,B, , , ,2, , ,USH00457507, , , , , , , , , , , , ,1646,853,1285,1898,1027,673,624,105,523,8,310,2666,1915
20, , , , , , , , , , , , , ,B, , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,526,2200,1249,1465,2270,776,1002,501,1097,89,509,750,1916
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,2076,1221,1248,4698,1345,1296,401,1668,174,137,503,888,1917
22, , , , , , , , , , , , , , , , , , , , , , ,B, ,USH00457507, , , , , , , , , , , , ,2380,1283,1434,1868,911,284,728,254,819,1032,69,1769,1918
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,1398,1185,1769,997,1323,1094,895,357,305,128,684,965,1919
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00457507, , , , , , , , , , , , ,2788,522,1114,1588,1739,1200,534,488,249,656,1897,1953,1920
