,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00124008, , , , , , , , , , , , ,-9999,-9999,957,294,-9999,-9999,-9999,-9999,368,275,825,691,1919
1, , , , , , , , , , , , ,1, , , , , , , , , , , ,USH00124008, , , , , , , , , , , , ,434,152,252,981,959,1838,628,983,688,388,1082,705,1920
2, , , , , , , , , , , , , , , , ,1, , , , , , , ,USH00124008, , , , , , , , , , , , ,333,110,1123,529,805,898,341,544,302,1628,1086,699,1921
3, , , , , , , , , , , , , , , , , , , , , , ,1, ,USH00124008, , , , , , , , , , , , ,473,181,501,364,1240,795,789,33,584,368,691,1278,1922
4, , , , , , , , , , , , , , , , , , , ,1, , , , ,USH00124008, , , , , , , , , , , , ,224,486,463,913,-9999,251,1492,955,454,1208,1132,1234,1923
5, , , , ,a, , , , , , , , , , , , ,1, , ,1, , , ,USH00124008, , , , , , , , , , , , ,415,592,267,594,807,297,703,1969,394,844,616,56,1924
6, , , , , , , , , , , , , , , , ,1, , , , , , , ,USH00124008, , , , , , , , , , , , ,371,289,754,191,556,510,475,500,1191,79,871,1010,1925
7, , , , , , , , , , , , , , , , , , , , ,1, , , ,USH00124008, , , , , , , , , , , , ,427,587,815,333,828,419,634,1041,1333,909,1839,648,1926
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00124008, , , , , , , , , , , , ,541,370,1515,820,654,1498,1164,734,1166,473,1681,703,1927
9, , , , , , , , , , , , ,1, , , , , , , , , , , ,USH00124008, , , , , , , , , , , , ,165,396,911,700,292,420,440,814,1140,1194,506,926,1928
