,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,-9999,-9999,-9999,137,-9999,-9999,-9999,87,185,46,802,-9999,1896
1, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,193,337,1313,66,85,197,86,804,485,28,576,144,1897
2, , , , ,a, , , , , , , , , , , , , , , , , , ,4,USH00244558, , , , , , , , , , , , ,154,81,264,85,156,128,358,287,292,280,140,315,1898
3, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,850,329,234,444,63,198,534,493,279,528,699,288,1899
4, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,213,252,950,224,143,337,992,357,192,376,766,194,1900
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,321,215,186,271,251,115,496,728,87,36,461,109,1901
6, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,198,425,750,568,118,153,1145,383,674,243,193,41,1902
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,232,123,796,221,134,243,274,410,432,197,379,283,1903
8, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,379,483,66,199,493,179,203,153,198,292,102,109,1904
9,b, , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,339,307,389,124,194,185,693,691,142,29,309,460,1905
10, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,290,105,455,532,183,118,680,261,56,504,60,192,1906
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,511,384,126,260,296,220,270,765,290,648,539,0,1907
12, , , , , ,b, , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,432,207,90,120,490,107,1069,632,365,225,511,390,1908
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,458,285,760,255,183,213,373,776,780,29,309,110,1909
14, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,198,524,428,133,368,219,423,103,108,170,587,327,1910
15, , ,a,a, , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,127,123,633,186,130,148,245,974,200,365,699,213,1911
16, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,431,121,209,176,94,155,193,658,397,262,173,105,1912
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,685,85,294,123,441,217,234,815,97,156,79,327,1913
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,334,428,405,102,297,309,153,637,176,333,309,866,1914
19, , , , , ,b,a, , , , , , , , , , , , , , , , , ,USH00244558, , , , , , , , , , , , ,302,256,421,509,150,273,894,533,697,57,519,87,1915
