,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , ,2,2, , ,2,2,2,2,2,2,USH00115901, , , , , , , , , , , , ,-9999,-9999,417,917,-9999,-9999,480,480,968,935,1209,594,1887
1, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00115901, , , , , , , , , , , , ,353,320,795,767,1026,386,1641,691,1260,739,315,610,1888
2, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00115901, , , , , , , , , , , , ,422,297,279,668,378,983,902,805,1631,97,1196,259,1889
3, , , , , , , , , , , , ,2,2,2,2,2, ,2,2,2,2,2,2,USH00115901, , , , , , , , , , , , ,701,409,475,206,541,-9999,942,3129,198,752,345,1379,1890
4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00115901, , , , , , , , , , , , ,404,376,942,523,726,813,818,808,1115,668,467,401,1891
5, , , , , , , , , , , , ,2,2, , ,2,2,2,2, , , , ,USH00115901, , , , , , , , , , , , ,541,465,-9999,-9999,754,1537,2360,2431,-9999,-9999,-9999,-9999,1892
6, , , , , , , , , , , ,a, , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,-9999,-9999,513,358,-9999,-9999,962,406,1087,409,431,219,1895
7, , , , , , , , , , , , , , , , , ,2, , , , , , ,USH00115901, , , , , , , , , , , , ,111,260,211,241,308,1283,2012,742,1286,820,1213,500,1896
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,631,227,455,371,813,679,316,1416,270,150,391,99,1897
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,470,386,271,86,676,701,982,539,508,1835,929,876,1898
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,68,51,444,439,333,538,1965,689,929,425,338,677,1899
11, , , , , , , , , , , , , , , , , ,2, , , , , , ,USH00115901, , , , , , , , , , , , ,376,596,478,183,384,599,1075,485,1568,1134,729,589,1900
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,228,177,270,321,697,168,691,475,293,68,656,354,1901
13, , , , , , , ,a, , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,116,323,1150,707,366,673,1814,2633,2487,574,1432,782,1902
14, , ,a, , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,269,481,269,435,746,1019,1284,478,2309,1591,1432,513,1903
15, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,638,287,43,672,681,784,856,284,746,1277,1903,304,1904
16, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,144,320,549,244,777,613,1031,799,1019,2007,666,1090,1905
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,661,455,885,435,621,550,1062,1332,1096,1537,939,495,1906
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,677,55,358,237,385,635,821,1137,946,1303,1576,360,1907
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,157,493,767,125,767,739,1559,1302,1694,684,226,293,1908
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,910,424,1111,653,289,1836,625,1627,389,487,458,418,1909
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,353,102,181,101,70,766,841,180,340,828,602,167,1910
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,118,659,1013,379,181,1139,1165,968,868,3097,1750,370,1911
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,102,245,436,401,287,452,764,627,1481,1557,920,1105,1912
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,231,173,336,130,425,486,1761,412,529,1410,727,920,1913
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00115901, , , , , , , , , , , , ,221,99,51,437,801,393,1008,1270,372,200,2143,642,1914
