,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00216360, , , , , , , , , , , , ,208,18,175,56,178,589,333,1923,1572,335,574,51,1885
1, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00216360, , , , , , , , , , , , ,251,267,432,165,51,841,531,874,762,462,165,457,1886
2, , , , , ,a, , ,b, , ,c,2,2,2,2,2,2,2,2,2,2,2,2,USH00216360, , , , , , , , , , , , ,226,165,89,483,97,363,645,1400,965,318,356,480,1887
3, , ,c, , , , , , , ,a,a,2, , , , ,1, , , , , , ,USH00216360, , , , , , , , , , , , ,297,294,129,234,401,1318,416,1198,471,1078,357,533,1893
4, , ,a,a,a, , , , , , , , , , , , , , , , , , , ,USH00216360, , , , , , , , , , , , ,171,107,178,288,442,1130,1123,614,87,243,403,1052,1894
5, , ,d, , , , , , , , , , , , , , , , , , , , , ,USH00216360, , , , , , , , , , , , ,92,54,235,62,19,120,822,1813,991,704,584,53,1895
6, , , ,c,a, , , , , , ,a, , , , , , , ,1,1,1, , ,USH00216360, , , , , , , , , , , , ,234,114,674,180,411,1256,1449,1176,480,734,480,448,1896
7, ,b, , , , , , , , , , , , , , , , , , , , , , ,USH00216360, , , , , , , , , , , , ,571,396,97,158,280,509,267,1905,2581,286,110,324,1897
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00216360, , , , , , , , , , , , ,31,177,136,94,385,243,883,1060,1439,724,408,419,1898
9, , , , ,c,a,a, , , , , , , , , , , , , , , , , ,USH00216360, , , , , , , , , , , , ,162,71,133,79,231,597,2030,2302,870,2183,440,706,1899
10, , , , , , , , , , , , , , , , , , , , ,1, , , ,USH00216360, , , , , , , , , , , , ,81,105,187,123,261,279,55,202,1603,2426,1102,761,1900
11, , , , , , , , , , , , , , , , , , , ,1, , , , ,USH00216360, , , , , , , , , , , , ,94,56,178,195,504,638,282,1585,1248,377,316,904,1901
12, , , , , , , , , , , , , , , , , , , , , , ,1, ,USH00216360, , , , , , , , , , , , ,122,158,322,243,285,455,1581,733,489,917,229,598,1902
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00216360, , , , , , , , , , , , ,154,140,112,223,316,586,1013,455,605,1189,1383,597,1903
14, , , , , , , , , ,.,., , , , , , , , , , ,1,1, ,USH00216360, , , , , , , , , , , , ,79,369,43,164,436,585,433,775,615,432,1168,437,1904
