,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , ,2, , , , ,USH00092318, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1151,-9999,-9999,-9999,-9999,1875
1, , , , , , , , , , , , , , ,2,2, , , ,2, , , , ,USH00092318, , , , , , , , , , , , ,-9999,-9999,711,914,-9999,-9999,-9999,1085,-9999,-9999,-9999,-9999,1876
2, , , , , , , , , , , , ,2,2, , ,2,2, ,2,2,2,2,2,USH00092318, , , , , , , , , , , , ,1135,508,-9999,-9999,1176,643,-9999,734,953,1156,1430,1537,1877
3, , , , , , , , , , , , , , ,2,2, ,2,2,2,2,2,2,2,USH00092318, , , , , , , , , , , , ,-9999,-9999,1054,1346,-9999,711,940,1245,589,2748,102,406,1878
4, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00092318, , , , , , , , , , , , ,711,533,1003,1511,457,1054,584,157,1842,1461,89,1448,1879
5, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00092318, , , , , , , , , , , , ,699,597,1283,1143,2794,1791,775,775,800,1778,1245,940,1880
6, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00092318, , , , , , , , , , , , ,2184,2223,825,1295,2146,1308,178,419,737,978,1422,610,1881
7, , , , , , , , , , , , ,2,2, , ,2,2,2,2,2,2,2,2,USH00092318, , , , , , , , , , , , ,889,1854,-9999,-9999,953,838,686,686,2032,1041,1143,229,1882
8, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2, ,2,2,USH00092318, , , , , , , , , , , , ,1549,526,533,1029,775,2901,894,825,241,-9999,292,533,1883
9, , , , , , , , , , , , ,2,2,2, ,2,2,2,2,2,2, ,2,USH00092318, , , , , , , , , , , , ,800,742,749,-9999,2667,1041,368,3048,330,267,-9999,25,1884
10, , , , , , , , , , , , ,2,2, , ,2,2, , , , , , ,USH00092318, , , , , , , , , , , , ,648,724,-9999,-9999,660,203,-9999,-9999,-9999,-9999,-9999,-9999,1885
11, , , ,b, , , , , , , ,a, , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,-9999,-9999,329,549,-9999,-9999,-9999,-9999,1282,1657,841,531,1893
12, ,d, , , , ,b, , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,967,1466,104,1206,559,714,294,277,2435,1388,722,813,1894
13,d,c, , , , , , ,a, , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,1568,378,446,970,2427,1491,704,539,495,2381,214,404,1895
14, , ,b,a, ,a,a, , , , , ,2,2, , , , , ,2,2,2, , ,USH00092318, , , , , , , , , , , , ,1166,678,2993,282,750,747,478,942,1839,803,228,665,1896
15,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,638,1593,335,779,1925,1089,242,682,895,1382,249,758,1897
16, , ,b, , , , , ,h, , , ,2, , , , , , , , , ,2,2,USH00092318, , , , , , , , , , , , ,980,269,1027,1232,912,1507,502,372,2595,2715,1354,2426,1898
17, , , , ,i, , , , , , , , , , , , ,2, , ,2,2, ,2,USH00092318, , , , , , , , , , , , ,2047,2129,626,800,1246,676,829,548,676,752,391,1173,1899
18, , , , , , , ,d, , , , , , , ,2,2, , , , , , , ,USH00092318, , , , , , , , , , , , ,598,2658,937,1946,864,1917,561,3958,1035,1311,1037,484,1900
19, , , , , , , , , , , , , , ,2,2, , ,2, ,2, , , ,USH00092318, , , , , , , , , , , , ,990,1003,127,1989,1666,1099,1521,1087,848,2734,1140,156,1901
20, , , , , , , , , , , , , , ,2,2, , , , , , , , ,USH00092318, , , , , , , , , , , , ,709,3408,1041,889,1515,620,669,455,648,1411,891,798,1902
21, , , , , , , , , , , , , ,2, , , , , ,2, , ,2, ,USH00092318, , , , , , , , , , , , ,604,2654,251,516,1694,942,1046,1097,1323,1318,1257,298,1903
22, , , , , , , , , , , , ,2,2, ,2, , , , , , ,2, ,USH00092318, , , , , , , , , , , , ,607,1057,856,988,639,584,572,541,883,1435,0,97,1904
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,596,1548,587,2169,493,918,954,513,1292,1236,384,422,1905
24, , , , , , , , , , , , ,2, , , ,2, , , , , , ,2,USH00092318, , , , , , , , , , , , ,1895,339,550,1345,2116,325,714,1645,2058,1148,1181,2233,1906
25, , , , , , , , , , , , , ,2,2, , , , , ,2, , , ,USH00092318, , , , , , , , , , , , ,308,1354,1720,1075,564,1254,1021,1783,993,243,1095,68,1907
26, , , , , , , , , , , , ,2, , , , ,2,2,2, , , , ,USH00092318, , , , , , , , , , , , ,1445,1786,350,1384,913,1341,1163,968,583,1022,356,818,1908
27, , , , , , , , , , , , , , , , , , , , , , ,2, ,USH00092318, , , , , , , , , , , , ,399,1820,399,924,2166,937,1541,1742,1585,2123,371,416,1909
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,1151,1214,249,788,973,1216,1047,1798,1536,1034,560,567,1910
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,604,1024,1025,1753,833,1110,800,324,839,1284,647,2324,1911
30, , , , , , , , , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,1320,1473,546,901,2807,1485,1359,2464,1754,483,1283,812,1912
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,1016,877,64,1322,2426,483,520,902,1562,1234,1539,610,1913
32, , , , , , , ,a,a, , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,471,787,2083,1497,636,636,178,712,1057,1446,1029,1701,1914
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00092318, , , , , , , , , , , , ,1345,940,521,1677,724,191,2139,990,1003,1067,877,1549,1915
