,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,809,588,787,537,5,749,1075,280,474,572,1432,935,1910
1, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,851,328,712,821,389,1327,349,810,739,1234,800,827,1911
2, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,435,608,323,348,993,1055,751,624,1409,1467,831,456,1912
3, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,1848,392,707,121,2474,816,814,254,1435,1193,543,640,1913
4, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,707,415,305,848,618,914,1426,531,974,1468,490,600,1914
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,653,189,551,870,272,671,969,695,1716,1428,1055,574,1915
6, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,1387,173,380,923,1094,643,1248,1553,279,884,864,382,1916
7, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,531,252,84,234,873,790,1215,1406,775,495,246,1528,1917
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,634,441,569,1182,612,825,825,1000,785,282,1243,623,1918
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,198,211,821,138,1460,610,879,512,671,305,529,2274,1919
10, , , , , , , , , ,a, , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,377,51,924,676,687,1767,698,1170,1199,890,534,898,1920
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,507,381,1511,566,1615,1146,886,1190,431,834,990,788,1921
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,304,355,513,991,1353,1261,1487,773,1193,295,541,589,1922
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,748,381,573,1227,1100,484,1358,739,1080,1133,1205,531,1923
14, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,678,1157,273,1741,998,573,1307,2089,384,673,1203,117,1924
15, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,144,457,1011,187,735,452,229,426,1263,599,1473,633,1925
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,458,549,340,386,645,1024,956,579,691,1503,2699,761,1926
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,544,522,1615,665,1125,1750,1459,787,576,644,695,362,1927
18,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,229,745,864,447,633,524,465,1610,1472,392,84,458,1928
19, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,1076,285,683,995,684,982,1589,1090,1796,1070,528,1092,1929
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,1548,331,393,136,478,606,490,719,897,812,784,364,1930
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,157,338,620,729,518,759,435,701,409,859,1132,716,1931
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,1082,264,457,1202,558,887,393,1076,1044,480,1189,964,1932
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,318,359,238,310,1175,719,1920,497,727,745,1923,439,1933
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,414,168,695,379,760,408,122,762,220,891,1505,101,1934
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,653,214,637,292,1136,460,1444,1006,1172,879,602,226,1935
26, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,254,698,493,592,932,420,862,586,483,719,913,1031,1936
27, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,1596,283,394,639,421,1095,1372,1000,1284,977,799,708,1937
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,166,666,575,295,1728,776,756,1507,1251,189,507,173,1938
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,558,910,183,216,1013,1023,239,1437,1080,795,181,834,1939
30, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,426,376,778,568,641,1136,879,891,158,593,398,757,1940
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,342,56,486,384,205,490,818,1590,404,545,470,1119,1941
32, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,293,746,982,443,916,675,1025,532,1395,696,915,448,1942
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,431,235,534,112,658,635,3140,1283,1960,1028,709,472,1943
34, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,111,509,753,307,916,1552,1149,204,455,1173,447,445,1944
35, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,129,443,639,646,1685,858,810,1706,651,255,1384,687,1945
36, , , , , , , , , , , , , , , , , , , , , , , , ,USH00120676, , , , , , , , , , , , ,255,487,690,665,695,331,1643,1187,884,383,379,744,1946
