,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,.,., , ,.,.,.,.,.,.,., ,B,B, , ,B,B,B,B,B,B,B, ,USH00026250, , , , , , , , , , , , ,69,53,254,124,361,8,102,3,91,193,10,0,1893
1, , , , ,.,., , , , , , , , , , ,B,B, , , , , , ,USH00026250, , , , , , , , , , , , ,0,0,0,307,201,13,0,0,64,473,35,0,1894
2, , , , , , , ,.,.,., ,a, , , , , , , ,B,B,B,0, ,USH00026250, , , , , , , , , , , , ,478,5,81,0,0,3,0,5,94,81,0,0,1895
3,., , , , , , , , , , , ,B, , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,203,0,43,132,127,0,0,0,0,259,0,460,1896
4, , , , , , , , , ,., , , , , , , , , , , ,B, , ,USH00026250, , , , , , , , , , , , ,925,127,0,127,48,18,0,0,-9999,157,498,25,1897
5, , , ,b, , , , ,., , , , , , , , , , , ,B, , , ,USH00026250, , , , , , , , , , , , ,125,3,102,13,137,13,38,56,97,67,0,0,1898
6, , , , , , , , , ,.,., , , , , , , , , , ,B,B,0,USH00026250, , , , , , , , , , , , ,40,0,110,3,5,0,3,0,-9999,30,13,0,1899
7,.,e, , , , , , , , , , ,B, , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,203,0,51,0,18,81,13,0,254,0,0,101,1900
8, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,51,826,0,0,0,0,0,0,0,76,0,0,1901
9, , , ,., , , , ,b,f, , , , ,0,B, , , , , , , ,B,USH00026250, , , , , , , , , , , , ,13,10,318,251,114,0,0,0,0,0,15,0,1902
10,., , , , , , , , , , , ,B,0, , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,203,0,0,0,16,84,0,0,30,30,43,0,1903
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,0,0,0,18,10,0,508,0,304,294,15,0,1904
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,393,933,486,102,319,30,10,0,0,0,163,0,1905
13, ,., , , , ,., , ,., , , ,B, , , , ,B, , ,B, , ,USH00026250, , , , , , , , , , , , ,0,147,50,471,226,150,15,0,15,462,0,0,1906
14, , , , , , , , , ,., , , , , , , , , , , ,B, , ,USH00026250, , , , , , , , , , , , ,33,0,48,0,0,0,0,0,399,157,0,155,1907
15, , ,.,., , , , , , ,.,., , ,B,B,0, , , , , ,B,B,USH00026250, , , , , , , , , , , , ,376,0,30,536,0,0,13,0,0,219,48,43,1908
16,., , , ,., , , , , , ,.,B, , , ,B, , , , , , ,B,USH00026250, , , , , , , , , , , , ,43,0,-9999,272,155,0,0,0,49,1178,256,0,1909
17, , , , , , , , , , , , , , , , , , , ,2,2,2, , ,USH00026250, , , , , , , , , , , , ,244,0,1140,0,0,56,0,0,132,79,76,0,1910
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,386,221,0,0,0,0,0,0,56,0,209,13,1911
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,0,0,0,101,196,127,51,127,453,241,0,368,1912
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,38,533,378,0,0,0,0,0,148,162,33,0,1913
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,282,338,89,335,102,226,135,107,10,51,33,228,1914
22, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,723,216,112,48,0,64,0,0,155,259,241,0,1915
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,769,51,0,190,451,0,15,0,0,0,223,0,1916
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,429,36,0,0,38,140,0,0,717,178,0,0,1917
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,59,137,30,289,216,0,0,79,165,203,0,33,1918
26, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,106,43,358,51,389,56,0,0,109,20,442,71,1919
27, , , , , , , , , , , ,h, , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,656,526,8,0,64,0,0,10,10,107,0,135,1920
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,327,0,0,561,163,0,64,3,400,616,267,447,1921
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,223,5,72,0,181,8,0,0,224,439,77,0,1922
30, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,81,48,51,440,10,94,3,0,77,58,64,8,1923
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,0,0,0,187,51,102,0,0,0,0,117,0,1924
32, , , , , , , , , , , , , , , , , , , , , , , , ,USH00026250, , , , , , , , , , , , ,25,0,71,79,165,143,0,61,48,28,76,465,1925
