,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , ,2,2, , , , , ,2,2,2,USH00463544, , , , , , , , , , , , ,-9999,-9999,244,442,-9999,-9999,-9999,-9999,-9999,396,734,292,1887
1, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00463544, , , , , , , , , , , , ,1092,617,704,411,871,602,1532,975,1869,1933,1285,1478,1888
2, , , , , , , , , , , , ,2, , , ,2,2,2,2,2,2,2, ,USH00463544, , , , , , , , , , , , ,869,681,1825,621,378,1046,1303,1146,2441,480,1242,782,1889
3, , , ,a, , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1106,1770,734,1471,1915,1038,1386,1232,1298,2062,1694,1767,1890
4, , , , , , , , , , , , , , , ,2, , , , , , ,2,2,USH00463544, , , , , , , , , , , , ,1199,1442,1104,986,1143,878,511,1780,1745,1560,414,607,1891
5, , , , , , , , , , , ,a,2, , ,2, , ,2,2,2,2,2, ,USH00463544, , , , , , , , , , , , ,968,686,892,632,824,1212,1486,1222,742,759,1140,248,1892
6, , , ,d, , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,666,1183,817,587,365,1491,975,1062,797,905,557,1329,1893
7, , , , , , , , ,a, , ,d, , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,629,1102,695,1276,490,1100,1325,987,661,520,538,587,1894
8, , , , , , , , , , ,c, , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1245,316,704,824,1145,938,423,473,1154,430,951,126,1895
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,616,927,980,569,1303,357,589,1552,3594,551,1496,950,1896
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,401,1901,1523,1153,906,854,1349,1627,2270,853,409,38,1897
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1681,715,769,969,1926,770,1018,1283,1122,1962,988,1245,1898
12, , , , ,d, , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1534,1147,501,934,594,691,831,1653,1102,443,1080,246,1899
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,690,1333,1165,714,935,344,1092,1265,1109,607,238,895,1900
14, , , , , , , , , , , , , , , , , , ,G,G, , , , ,USH00463544, , , , , , , , , , , , ,791,345,885,1661,829,2224,1394,1283,617,1357,902,178,1901
15, , , , , ,b, , , , , , , , , , , , , ,G, , , , ,USH00463544, , , , , , , , , , , , ,1082,978,843,1850,1087,1211,1060,1359,1401,980,822,932,1902
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,926,1624,764,825,1214,1184,1051,1150,683,571,279,708,1903
17, , , , , ,.,.,.,., , , , , , , , ,G,G,G,G, , , ,USH00463544, , , , , , , , , , , , ,714,794,119,751,1268,889,508,1207,381,589,214,255,1904
18,d, , , , , , , , , , , , ,G,G, ,G, , , , , , , ,USH00463544, , , , , , , , , , , , ,1053,958,655,782,1285,846,1563,501,996,1321,503,1918,1905
19, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1129,681,744,1479,1474,862,384,1285,993,963,585,472,1906
20, , , , , , , , , , , , , , , , , , ,G, , , , , ,USH00463544, , , , , , , , , , , , ,1891,584,571,1011,1130,963,1082,1540,2170,1477,1307,600,1907
21, , , , , ,a, , , , , , , , , , ,G, , ,G, , , , ,USH00463544, , , , , , , , , , , , ,437,1026,257,791,1433,702,1583,899,1136,363,490,350,1908
22, , , , , , , , , , , , , , , , , , , ,G, , , , ,USH00463544, , , , , , , , , , , , ,900,1256,429,753,655,1259,966,1003,1095,1169,777,820,1909
23, , , , , , , , , , , , , , , , , , , ,G, , , , ,USH00463544, , , , , , , , , , , , ,1768,1142,585,834,219,767,1172,1072,865,262,1208,499,1910
24, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1638,465,742,834,854,1089,125,900,618,2147,1396,1219,1911
25, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1107,788,605,832,1405,799,1108,693,3285,1173,1081,364,1912
26, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,2006,715,1422,875,1106,1041,1245,1086,2557,1031,579,911,1913
27, , , , , , , , , , , , ,G, , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,691,1119,204,1415,499,1549,368,348,924,1236,59,551,1914
28, , , , , , , , , , , , , , ,G, , ,G, , , , , , ,USH00463544, , , , , , , , , , , , ,1218,504,897,1284,317,480,761,640,1233,949,1189,1046,1915
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1766,1732,462,1056,1611,672,878,1143,586,955,1391,716,1916
30, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1276,764,233,244,2075,703,1689,1311,1039,810,758,1091,1917
31, , , , , , , , , , , , , , , , , , , , , , , ,G,USH00463544, , , , , , , , , , , , ,965,850,554,979,1412,1217,1469,829,909,1080,887,914,1918
32, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1174,456,1208,1261,695,460,1251,1774,1037,1326,715,1909,1919
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1308,631,916,837,797,1460,1770,1484,1757,621,339,322,1920
34, , , , ,a, , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,708,815,1903,1427,779,581,788,1039,274,1441,1262,758,1921
35, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,951,813,354,1399,1424,961,1099,2019,1711,1305,420,756,1922
36, , , , , , , , , , , , , , , , , , ,G, , , , , ,USH00463544, , , , , , , , , , , , ,1533,1183,1015,1579,853,895,945,1315,1994,1989,1137,473,1923
37, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1387,939,589,535,1009,1228,1877,1143,1215,1267,1651,115,1924
38, , , , , , , , , , , , , , , , , , , , , ,G,G, ,USH00463544, , , , , , , , , , , , ,994,787,1082,206,796,655,1054,667,1796,254,658,2255,1925
39, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,964,1256,1475,1472,919,776,947,1167,1326,1133,1635,1181,1926
40, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1318,1287,1102,1188,520,1657,993,1110,1922,1332,997,1031,1927
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,590,634,947,717,1233,1470,737,1786,1411,1587,741,605,1928
42, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,758,1000,1315,704,1107,1342,1352,745,866,707,736,1511,1929
43, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,557,851,407,795,1010,523,908,630,251,689,233,202,1930
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,364,736,368,952,928,921,1124,852,1023,1803,1070,353,1931
45, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1568,817,989,975,1369,580,403,1190,1788,724,307,1101,1932
46, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1242,797,692,1293,1714,1105,1935,708,1371,1997,988,629,1933
47, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,974,509,856,665,1204,633,335,1165,1368,1595,952,165,1934
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1479,537,847,1347,1534,1076,1859,1415,1259,2038,751,1019,1935
49, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1212,694,895,1135,1662,978,491,373,912,907,588,899,1936
50, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,2699,1309,421,783,578,1138,1116,2148,1218,1703,597,1846,1937
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,562,917,1486,430,1347,867,2671,1695,1293,570,1229,143,1938
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,929,1717,238,891,1355,1827,189,1401,908,802,677,867,1939
53, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,396,1427,948,630,1239,1268,924,1480,1288,714,657,542,1940
54, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,771,281,755,468,665,562,734,2105,1624,1029,689,880,1941
55, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,636,644,1416,1676,767,513,830,1221,1047,1257,1368,650,1942
56, , , , , , , , , , , , , , , , , , , , , , , , ,USH00463544, , , , , , , , , , , , ,1051,635,722,596,1425,1247,1166,985,1945,1911,337,730,1943
