,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0,.,.,.,.,.,.,.,.,.,.,.,.,B,B,B,B,B,B,B,B,B,B,B,B,USH00020080, , , , , , , , , , , , ,112,300,267,38,84,201,10,13,348,432,79,46,1913
1,.,.,d,f,.,., ,i, , , , ,B,B, , ,B,B, , , , , , ,USH00020080, , , , , , , , , , , , ,84,46,357,638,274,74,46,0,463,206,94,867,1914
2, , , , , , , , , ,e, , , , , ,3, , , , , , , , ,USH00020080, , , , , , , , , , , , ,557,394,150,1057,59,498,51,0,396,137,147,0,1915
3, , ,b,c, , , ,a, , ,e, , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,427,86,0,221,180,21,0,0,301,466,732,110,1916
4, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,725,358,0,0,38,64,0,0,946,160,351,38,1917
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,457,141,309,236,155,18,0,201,512,946,107,44,1918
6,b, ,c, , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,290,187,79,274,66,13,0,454,587,228,74,1919
7, , , , , , ,d, , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,392,462,0,3,442,0,61,5,71,336,117,178,1920
8,g, , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,13,28,150,19,18,143,0,860,781,327,102,1921
9, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,267,112,142,203,325,328,33,0,202,516,86,3,1922
10, , ,d,b, , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,101,180,236,435,51,38,0,0,1140,258,234,77,1923
11, , , ,d,b,b, , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,0,8,161,148,61,79,3,41,122,196,46,1924
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,0,132,114,5,198,0,66,347,456,66,259,1925
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,76,48,0,583,21,228,102,0,199,315,419,127,1926
14, , , , , , , , ,d, , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,40,149,234,379,301,87,20,0,147,793,137,86,1927
15, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,5,119,15,120,23,0,8,0,434,51,71,0,1928
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,310,0,61,0,18,15,3,0,462,734,227,0,1929
17, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,321,15,115,0,718,18,153,0,291,264,122,84,1930
18, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,54,813,546,365,0,58,0,28,802,549,36,137,1931
19, , , ,f,g, , , , , , ,b, , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,173,663,0,455,0,13,0,104,313,1158,310,476,1932
20,d, , , , , , ,c, , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,779,89,254,0,0,101,13,33,84,348,3,256,1933
21, , , , , , , ,b, , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,119,28,107,291,3,0,18,0,264,442,0,0,1934
22, , , , , , , , ,a, , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,170,393,170,189,200,10,0,0,178,706,277,0,1935
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,112,80,122,430,127,0,0,10,363,269,25,41,1936
24, , ,i,a, , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,320,26,0,58,389,0,0,183,449,327,234,0,1937
25, , , ,d, , , , , ,a, , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,100,79,0,346,537,26,0,46,209,349,127,5,1938
26,e, , , , , , ,d, , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,101,232,304,0,39,0,0,0,13,658,729,36,1939
27, , , , ,d, , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,74,137,691,8,64,0,0,102,672,1242,551,1940
28, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,140,497,354,544,514,811,38,0,341,203,0,63,1941
29, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,267,140,0,86,104,208,0,0,188,722,0,99,1942
30, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,279,71,0,427,0,30,0,15,81,1209,299,378,1943
31, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,83,640,318,161,614,20,43,0,31,96,114,234,1944
32, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,203,5,0,50,564,0,0,0,651,365,71,20,1945
33, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,279,28,287,45,0,23,0,0,1094,653,1442,28,1946
34, , ,g,b, , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,23,56,223,100,30,0,13,0,155,1346,183,18,1947
35, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,157,0,207,201,0,0,0,25,521,0,353,1948
36, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,738,21,86,272,84,122,0,0,195,173,132,151,1949
37, , , , , , , , , ,d, , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,28,41,23,0,46,0,0,0,526,41,176,0,1950
38, , , , , , , , , ,a, , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,326,180,246,92,33,239,5,0,447,1807,5,170,1951
39, , , , , ,d, , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,120,43,330,309,806,104,0,28,143,219,107,0,1952
40, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,20,173,3,5,244,13,13,0,490,595,0,58,1953
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,149,46,0,0,298,0,36,10,854,174,74,23,1954
42, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,696,8,8,28,0,0,0,0,733,788,0,79,1955
43, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,58,60,13,0,0,10,0,73,572,569,0,0,1956
44, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,464,3,26,83,303,96,134,0,35,305,3,564,1957
45, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,307,66,0,334,310,8,142,74,859,137,76,1958
46, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,277,100,825,0,0,0,0,358,497,79,450,1959
47, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,389,18,28,175,191,0,0,15,244,1042,302,333,1960
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,71,0,23,151,64,0,0,23,264,1192,5,69,1961
49, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,228,91,0,312,206,0,0,50,120,133,485,21,1962
50, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,0,180,269,0,203,10,0,5,3,1085,49,234,1963
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,48,0,211,167,357,0,0,0,147,540,343,208,1964
52, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,188,191,551,1000,89,305,13,5,408,364,29,3,1965
53, , , , , , , , , , , , , , , , , , , , , , , , ,USH00020080, , , , , , , , , , , , ,276,367,143,66,48,20,0,10,176,79,496,25,1966
