,dmflag0,dmflag1,dmflag10,dmflag11,dmflag2,dmflag3,dmflag4,dmflag5,dmflag6,dmflag7,dmflag8,dmflag9,dsflag0,dsflag1,dsflag10,dsflag11,dsflag2,dsflag3,dsflag4,dsflag5,dsflag6,dsflag7,dsflag8,dsflag9,id,qcflag0,qcflag1,qcflag10,qcflag11,qcflag2,qcflag3,qcflag4,qcflag5,qcflag6,qcflag7,qcflag8,qcflag9,value0,value1,value10,value11,value2,value3,value4,value5,value6,value7,value8,value9,year
0, , , , , , , , , , , , , , , , , , , ,2,2, , , ,USH00052281, , , , , , , , , , , , ,-9999,-9999,-9999,-9999,-9999,-9999,-9999,109,315,-9999,-9999,-9999,1888
1, , , , , , , , , , , , ,2,2,2,2,2,2, , ,2,2,2,2,USH00052281, , , , , , , , , , , , ,787,1041,66,351,1778,559,-9999,-9999,231,671,419,363,1890
2, , , , , , , , , ,.,.,.,2,2,2,2,2,2,2,2,2,2,2,2,USH00052281, , , , , , , , , , , , ,234,1671,897,980,798,254,566,234,376,406,533,102,1891
3, , , , , , , , , , , , ,2,2,2,2,2,2,2,2,2,2,2,2,USH00052281, , , , , , , , , , , , ,305,351,455,782,1041,897,950,516,1062,500,53,696,1892
4, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281,L,L, , ,L, , , , , , , ,218,1214,-9999,-9999,494,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1893
5, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,-9999,-9999,326,1097,-9999,-9999,101,139,1008,726,323,127,1909
6, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,89,343,114,191,127,71,79,127,599,38,383,28,1910
7, ,a, , , ,c,a, , , , , , , , , ,0, , , , , , , ,USH00052281, , , , , , , , , , , , ,575,25,251,23,305,196,83,264,820,243,154,117,1911
8, , ,.,.,a,., , , ,.,.,., , ,B,B, ,B, , , ,B,B,B,USH00052281, , , , , , , , , , , , ,732,434,86,287,904,480,486,335,1431,229,366,264,1912
9,.,., , , , , , , , , , ,B,B, , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,427,262,147,534,27,229,108,317,687,284,516,167,1913
10, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,563,247,18,113,112,570,503,149,423,373,229,199,1914
11, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,253,178,445,203,282,424,308,337,135,311,688,234,1915
12, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,561,290,314,469,416,398,241,18,504,371,336,813,1916
13, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,190,225,211,172,206,530,1051,107,578,321,28,418,1917
14, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,421,704,198,155,540,250,142,225,182,193,666,290,1918
15, , , , , , , , , , ,a, , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,41,216,325,188,208,337,223,130,472,333,401,453,1919
16, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,215,358,562,337,282,1122,155,96,335,387,376,374,1920
17, , , , , , ,a, , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,372,242,128,509,581,963,112,225,571,835,51,292,1921
18, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,122,401,389,847,271,670,139,21,513,613,94,196,1922
19, , ,a, ,a, , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,229,152,5,357,359,166,269,719,848,837,485,320,1923
20, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,307,262,173,613,694,231,470,41,290,116,309,1265,1924
21, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,191,272,137,718,288,94,409,425,481,492,541,832,1925
22, , , ,e, , ,a, , ,a, , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,281,333,553,351,446,1526,563,193,492,545,134,574,1926
23, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,272,732,582,347,156,762,552,481,491,784,266,385,1927
24, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,98,229,376,109,844,421,978,384,379,330,388,376,1928
25, , , ,a,h, ,b, , , ,f,c, , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,183,206,117,111,533,102,166,0,144,1049,190,302,1929
26, ,b, , ,b,e,a, , , , , , , , , , , , , , , , ,3,USH00052281, , , , , , , , , , , , ,413,148,324,47,360,221,330,86,452,579,1472,150,1930
27,i, , , ,a, , , , , , ,b, , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,18,239,154,48,402,313,264,404,387,166,589,64,1931
28,e, , , , , , , , , , , , , , , ,1, , , , ,1,1, ,USH00052281, , , , , , , , , , , , ,123,278,210,322,1222,470,417,178,475,267,71,389,1932
29, , , ,b,e,e, ,a, , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,158,254,33,268,404,1374,625,293,614,259,343,99,1933
30, ,b, ,b, , , , , , , , , , , , , , , , , , , ,1,USH00052281, , , , , , , , , , , , ,180,721,571,200,508,381,777,262,421,648,375,46,1934
31, , ,b,b,b,b, , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,128,148,170,317,422,822,507,51,1294,548,221,623,1935
32,f,d, ,a, ,f, , , , ,b, , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,722,1401,89,199,913,114,193,189,645,1126,104,285,1936
33,h, ,b,d,b, , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,59,536,283,183,248,204,196,588,313,349,329,356,1937
34,b,b,b, , ,b, , ,a,a, , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,276,168,127,723,867,534,507,484,272,732,218,134,1938
35,b, , , , , ,c, , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,365,333,66,151,572,503,256,146,426,152,284,71,1939
36, , , , , , , , , , ,g,f, , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,629,269,246,198,295,568,479,220,751,248,683,79,1940
37,b, , , , ,b, , ,b, , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,285,377,329,242,655,655,164,365,157,543,420,379,1941
38, ,a,d,d, , , , , , , ,b, , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,406,453,297,339,454,765,297,477,373,385,185,279,1942
39, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,517,237,218,201,981,237,588,298,218,545,114,247,1943
40, , ,e,b, , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,180,181,249,203,591,918,458,68,274,116,0,224,1944
41, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,465,514,613,496,399,873,639,348,745,714,529,337,1945
42, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,373,104,382,127,352,415,478,261,632,311,170,513,1946
43,f, , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,481,600,309,160,696,678,463,788,327,511,345,726,1947
44, ,a, , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,312,362,529,414,525,587,280,272,279,203,177,165,1948
45, , , , , ,c,b, , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,144,160,51,104,388,367,382,786,899,359,471,533,1949
46, ,b, , , , ,b, , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,572,229,715,561,353,697,76,165,190,127,241,140,1950
47, , , , , , ,b, , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,535,477,338,1229,270,663,421,397,398,278,241,258,1951
48, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,420,321,285,331,370,318,343,89,518,693,160,13,1952
49, , , , , , , , , , ,b, , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,562,261,307,191,379,696,643,402,596,370,30,313,1953
50,b, , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,89,142,293,267,415,174,384,102,445,165,611,291,1954
51, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,186,281,519,267,546,228,648,131,561,1022,58,420,1955
52, , , , , ,a, , , , , ,f, , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,645,389,203,241,367,804,196,134,465,259,63,38,1956
53, ,f, , , , ,a, , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,517,199,329,419,358,571,771,268,723,546,216,267,1957
54,d,b,b, , , ,d, , , , ,b, , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,212,463,244,534,482,355,142,229,215,288,173,74,1958
55, , ,a, , , ,d, , , , ,b, , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,431,444,216,139,442,419,305,517,317,284,1014,331,1959
56,b, , , , ,h, , , ,b, , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,93,511,228,304,675,114,343,215,394,117,305,216,1960
57,b,b, ,a,f, , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,102,300,172,212,261,673,469,114,655,499,1083,231,1961
58, ,b, , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,342,407,131,140,143,606,248,161,244,274,153,157,1962
59, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,379,423,104,172,270,142,85,662,343,1084,135,146,1963
60, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,84,122,222,540,290,210,79,181,410,520,231,48,1964
61, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,313,203,348,140,493,120,235,552,777,453,305,31,1965
62, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,38,78,123,336,92,257,346,277,349,589,458,209,1966
63, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,116,236,215,246,254,323,254,408,278,274,371,201,1967
64, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,33,222,191,48,158,157,309,33,216,840,256,130,1968
65, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,456,35,129,352,140,113,426,778,294,562,292,617,1969
66, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,275,207,277,113,242,300,94,215,547,369,573,239,1970
67, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,109,165,182,168,307,294,358,145,230,329,271,140,1971
68, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,131,160,182,181,188,300,112,329,133,306,342,236,1972
69, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,99,82,202,442,137,399,656,185,548,198,280,74,1973
70, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,307,167,81,147,625,307,49,457,572,246,170,252,1974
71, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,212,188,245,93,374,261,253,150,658,341,432,158,1975
72, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,238,276,205,63,238,316,730,193,400,365,620,107,1976
73, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,41,145,178,601,321,314,183,272,402,332,327,226,1977
74, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,167,297,102,318,309,121,398,399,168,153,71,160,1978
75, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,405,205,243,45,366,228,421,406,84,251,44,174,1979
76, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,520,473,83,59,282,274,411,0,560,358,424,301,1980
77, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,67,99,154,444,251,147,655,196,815,292,516,255,1981
78, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,529,73,208,162,247,212,737,184,313,652,425,145,1982
79,a, , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,99,362,507,712,506,460,546,347,749,752,110,180,1983
80, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,79,142,203,178,214,445,339,510,943,938,457,377,1984
81, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,191,70,487,227,232,207,220,180,451,107,600,328,1985
82, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,87,519,198,126,116,422,64,481,678,416,362,256,1986
83, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,134,132,236,281,209,185,444,207,453,487,184,312,1987
84, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,250,196,377,85,279,210,368,329,-9999,370,153,118,1988
85, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,105,394,211,194,268,357,288,349,587,389,202,66,1989
86, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,97,92,132,140,354,419,206,95,658,575,477,238,1990
87, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,117,62,375,61,458,410,238,493,345,388,314,129,1991
88, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,78,125,245,74,494,137,376,334,391,610,281,102,1992
89, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,226,454,169,92,472,351,267,501,221,155,472,313,1993
90, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,137,223,138,42,158,203,187,302,95,603,483,177,1994
91, , , , , , , , , , , , , , , , , , , , , , , , ,USH00052281, , , , , , , , , , , , ,133,652,296,321,216,474,557,491,446,376,375,170,1995
