"Ticker.Symbol","Period.Ending","Accounts.Payable","Accounts.Receivable","Add.l.income.expense.items","After.Tax.ROE","Capital.Expenditures","Capital.Surplus","Cash.Ratio","Cash.and.Cash.Equivalents","Changes.in.Inventories","Common.Stocks","Cost.of.Revenue","Current.Ratio","Deferred.Asset.Charges","Deferred.Liability.Charges","Depreciation","Earnings.Before.Interest.and.Tax","Earnings.Before.Tax","Effect.of.Exchange.Rate","Equity.Earnings.Loss.Unconsolidated.Subsidiary","Fixed.Assets","Goodwill","Gross.Margin","Gross.Profit","Income.Tax","Intangible.Assets","Interest.Expense","Inventory","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Minority.Interest","Misc..Stocks","Net.Borrowings","Net.Cash.Flow","Net.Cash.Flow.Operating","Net.Cash.Flows.Financing","Net.Cash.Flows.Investing","Net.Income","Net.Income.Adjustments","Net.Income.Applicable.to.Common.Shareholders","Net.Income.Cont..Operations","Net.Receivables","Non.Recurring.Items","Operating.Income","Operating.Margin","Other.Assets","Other.Current.Assets","Other.Current.Liabilities","Other.Equity","Other.Financing.Activities","Other.Investing.Activities","Other.Liabilities","Other.Operating.Activities","Other.Operating.Items","Pre.Tax.Margin","Pre.Tax.ROE","Profit.Margin","Quick.Ratio","Research.and.Development","Retained.Earnings","Sale.and.Purchase.of.Stock","Sales..General.and.Admin.","Short.Term.Debt...Current.Portion.of.Long.Term.Debt","Short.Term.Investments","Total.Assets","Total.Current.Assets","Total.Current.Liabilities","Total.Equity","Total.Liabilities","Total.Liabilities...Equity","Total.Revenue","Treasury.Stock","For.Year","Earnings.Per.Share","Estimated.Shares.Outstanding"
"NLSN","12/31/13",1.081e+09,-8.4e+07,-3.2e+07,13,-1.3e+08,6.596e+09,37,5.64e+08,0,3.2e+07,2.398e+09,139,1.15e+08,8.64e+08,5.21e+08,8.29e+08,5.2e+08,-2.1e+07,2e+06,5.6e+08,7.684e+09,58,3.305e+09,9.1e+07,4.781e+09,3.09e+08,0,9.35e+08,1.5e+07,6.492e+09,0,7.8e+07,0,3.09e+08,2.76e+08,9.01e+08,8.3e+07,-6.87e+08,7.4e+08,-3.08e+08,7.4e+08,4.31e+08,1.196e+09,1.19e+08,8.61e+08,15,2.56e+08,3.74e+08,3.06e+08,-3.87e+08,-3.5e+07,-1.492e+09,8.32e+08,2.1e+07,5.1e+08,9,9,13,139,0,-5.12e+08,7.4e+07,1.815e+09,1.48e+08,0,1.553e+10,2.134e+09,1.535e+09,5.729e+09,9.801e+09,1.553e+10,5.703e+09,0,2013,1.97,375634517.8
"NLSN","12/31/14",1.097e+09,-9.3e+07,-1.68e+08,8,-1.63e+08,6.344e+09,15,2.73e+08,0,3.2e+07,2.62e+09,112,8.3e+07,1.025e+09,5.73e+08,9.21e+08,6.21e+08,-6.7e+07,-4e+06,5.33e+08,7.671e+09,58,3.668e+09,2.36e+08,4.715e+09,3e+08,0,-6e+06,-2.3e+07,6.419e+09,0,7.7e+07,0,2.12e+08,-2.91e+08,1.093e+09,-5.85e+08,-7.32e+08,3.84e+08,3.31e+08,3.84e+08,3.84e+08,1.241e+09,8.9e+07,1.089e+09,17,3.13e+08,4.97e+08,3.04e+08,-7.77e+08,-7.8e+07,-5.63e+08,9.55e+08,-7.6e+07,5.73e+08,10,12,6,112,0,-1.28e+08,-3.63e+08,1.917e+09,3.93e+08,0,1.5326e+10,2.011e+09,1.794e+09,5.056e+09,1.027e+10,1.5326e+10,6.288e+09,-4.15e+08,2014,1.01,380198019.8
"NLSN","12/31/15",1.055e+09,-3.5e+07,1.79e+08,13,-1.34e+08,5.119e+09,21,3.57e+08,0,3.2e+07,2.539e+09,113,7.8e+07,1.074e+09,5.74e+08,1.272e+09,9.61e+08,-5.2e+07,-3e+06,4.9e+08,7.783e+09,59,3.633e+09,3.83e+08,4.772e+09,3.11e+08,0,3e+07,6e+07,7.028e+09,0,1.94e+08,0,5.1e+08,8.4e+07,1.209e+09,-4.92e+08,-5.81e+08,5.7e+08,9.8e+07,5.7e+08,5.7e+08,1.235e+09,5.1e+07,1.093e+09,18,2.72e+08,3.16e+08,3.22e+08,-1.059e+09,1e+06,-4.77e+08,8.87e+08,-6.3e+07,5.74e+08,16,22,9,113,0,3.41e+08,-5.95e+08,1.915e+09,3.1e+08,0,1.5303e+10,1.908e+09,1.687e+09,4.433e+09,1.087e+10,1.5303e+10,6.172e+09,0,2015,1.55,367741935.5
"NLSN","12/31/16",1.109e+09,5.3e+07,6e+06,12,-1.09e+08,4.825e+09,47,7.54e+08,0,3.2e+07,2.607e+09,139,1.27e+08,1.175e+09,6.03e+08,1.149e+09,8.16e+08,-9e+06,0,4.71e+08,7.845e+09,59,3.702e+09,3.09e+08,4.736e+09,3.33e+08,0,3.4e+07,7e+06,7.738e+09,0,1.91e+08,0,5.37e+08,3.97e+08,1.296e+09,-2.48e+08,-6.42e+08,5.02e+08,1.22e+08,5.02e+08,5.02e+08,1.171e+09,1.05e+08,1.143e+09,18,3.29e+08,2.97e+08,2.97e+08,-1.211e+09,-1.4e+07,-5.67e+08,9.3e+08,4e+06,6.03e+08,13,20,8,139,0,4.56e+08,-3.37e+08,1.851e+09,1.88e+08,0,1.573e+10,2.222e+09,1.594e+09,4.102e+09,1.1628e+10,1.573e+10,6.309e+09,0,NA,NA,NA
"NOV","12/31/12",5.648e+09,-1.124e+09,-5.8e+07,12,-5.69e+08,8.743e+09,59,3.319e+09,-9.74e+08,4e+06,1.2151e+10,278,4.13e+08,1.997e+09,6.16e+08,3.389e+09,3.34e+09,9e+06,5.8e+07,2.945e+09,7.172e+09,29,5.043e+09,9.65e+08,4.743e+09,4.9e+07,5.891e+09,0,-4.4e+07,3.148e+09,3.93e+08,1.17e+08,0,2.638e+09,-2.16e+08,6.2e+08,2.583e+09,-3.428e+09,2.491e+09,4.5e+07,2.491e+09,2.375e+09,5.894e+09,0,3.389e+09,20,1.4e+08,5.74e+08,0,1.07e+08,1.6e+07,-2.859e+09,3.34e+08,-2.62e+08,0,19,17,14,173,0,1.1385e+10,1.13e+08,1.654e+09,1e+06,0,3.1484e+10,1.5678e+10,5.649e+09,2.0239e+10,1.1245e+10,3.1484e+10,1.7194e+10,0,2012,5.86,425085324.2
"NOV","12/31/13",6.677e+09,-8.3e+08,-2.7e+07,10,-6.14e+08,8.907e+09,51,3.436e+09,2.38e+08,4e+06,1.4117e+10,246,3.72e+08,2.292e+09,7.38e+08,3.235e+09,3.124e+09,-1.1e+07,6.3e+07,3.408e+09,9.049e+09,27,5.104e+09,9.43e+08,5.055e+09,1.11e+08,5.603e+09,0,8.93e+08,3.149e+09,3.9e+08,1e+08,0,0,1.17e+08,3.397e+09,-3.05e+08,-2.964e+09,2.327e+09,-1.89e+08,2.327e+09,2.181e+09,6.808e+09,0,3.199e+09,17,1.15e+08,5.76e+08,0,-4e+06,6e+06,-2.35e+09,3.63e+08,4.9e+07,0,16,14,12,162,0,1.3323e+10,5.8e+07,1.905e+09,1e+06,0,3.4812e+10,1.6423e+10,6.678e+09,2.223e+10,1.2582e+10,3.4812e+10,1.9221e+10,0,2013,5.46,426190476.2
"NOV","12/31/14",7.222e+09,-4.15e+08,-7.2e+07,12,-6.99e+08,8.341e+09,48,3.536e+09,-7.1e+08,4e+06,1.5631e+10,219,5.03e+08,1.972e+09,7.78e+08,3.599e+09,3.494e+09,-6.7e+07,5.8e+07,3.362e+09,8.539e+09,27,5.809e+09,1.039e+09,4.444e+09,1.05e+08,5.281e+09,0,7.91e+08,3.014e+09,3.62e+08,8e+07,0,1.8e+07,1e+08,2.614e+09,-1.343e+09,-1.104e+09,2.502e+09,8.6e+07,2.502e+09,2.455e+09,6.741e+09,1.04e+08,3.613e+09,17,1.9e+08,6.04e+08,0,-8.34e+08,-2e+06,-4.05e+08,4.3e+08,-4.6e+08,0,16,17,12,148,0,1.3181e+10,-6.71e+08,2.092e+09,1.52e+08,0,3.3562e+10,1.6162e+10,7.374e+09,2.0692e+10,1.287e+10,3.3562e+10,2.144e+10,0,2014,5.85,427692307.7
"NOV","12/31/15",4.247e+09,1.639e+09,-1.09e+08,5,-4.53e+08,8.005e+09,49,2.08e+09,4.1e+08,4e+06,1.1694e+10,278,4.88e+08,1.805e+09,7.47e+08,-4.86e+08,-5.89e+08,-1.11e+08,1.3e+07,3.124e+09,6.98e+09,21,3.063e+09,1.78e+08,3.849e+09,1.03e+08,4.678e+09,0,-2.56e+09,3.928e+09,3.27e+08,7.7e+07,0,7.62e+08,-1.456e+09,1.332e+09,-2.163e+09,-5.14e+08,-7.69e+08,1.818e+09,-7.69e+08,-7.67e+08,4.552e+09,1.689e+09,-3.9e+08,3,1.56e+08,4.91e+08,0,-1.553e+09,0,-6.1e+07,2.83e+08,4.5e+07,0,4,4,5,168,0,9.927e+09,-2.214e+09,1.764e+09,2e+06,0,2.6725e+10,1.1801e+10,4.249e+09,1.6383e+10,1.0342e+10,2.6725e+10,1.4757e+10,0,2015,-1.99,386432160.8
"NSC","12/31/13",1.49e+09,8.5e+07,2.33e+08,17,-1.971e+09,2.021e+09,68,1.443e+09,-7e+06,3.1e+08,4.07e+09,133,0,8.542e+09,9.22e+08,3.49e+09,2.965e+09,0,0,2.6645e+10,0,64,7.175e+09,1.055e+09,0,5.25e+08,2.23e+08,-6.7e+07,5e+06,8.903e+09,2.439e+09,0,0,7.39e+08,7.9e+08,3.078e+09,-3.94e+08,-1.894e+09,1.91e+09,1.58e+08,1.91e+09,1.91e+09,1.204e+09,0,3.257e+09,29,3.24e+08,8.7e+07,2.7e+08,-3.81e+08,0,1.44e+08,1.444e+09,5e+06,9.16e+08,26,26,17,124,0,9.339e+09,-4.96e+08,3.002e+09,5.45e+08,1.18e+08,3.2483e+10,3.075e+09,2.305e+09,1.1289e+10,2.1194e+10,3.2483e+10,1.1245e+10,0,2013,6.1,313114754.1
"NSC","12/31/14",1.45e+09,-3.1e+07,1.04e+08,16,-2.118e+09,2.148e+09,55,9.73e+08,-1.3e+07,3.1e+08,4.201e+09,156,0,8.817e+09,9.56e+08,3.679e+09,3.134e+09,0,0,2.7694e+10,0,64,7.423e+09,1.134e+09,0,5.45e+08,2.36e+08,2e+06,1.16e+08,8.883e+09,2.679e+09,0,0,-4.45e+08,-4.7e+08,2.915e+09,-1.383e+09,-2.002e+09,2e+09,2.81e+08,2e+09,2e+09,1.222e+09,0,3.575e+09,31,4.9e+07,3.47e+08,2.28e+08,-3.98e+08,0,1.14e+08,1.312e+09,-3.94e+08,9.51e+08,27,25,17,143,0,1.0348e+10,-2.51e+08,2.897e+09,1.02e+08,0,3.32e+10,2.778e+09,1.78e+09,1.2408e+10,2.0792e+10,3.32e+10,1.1624e+10,0,2014,6.44,310559006.2
