"Ticker.Symbol","Period.Ending","Accounts.Payable","Accounts.Receivable","Add.l.income.expense.items","After.Tax.ROE","Capital.Expenditures","Capital.Surplus","Cash.Ratio","Cash.and.Cash.Equivalents","Changes.in.Inventories","Common.Stocks","Cost.of.Revenue","Current.Ratio","Deferred.Asset.Charges","Deferred.Liability.Charges","Depreciation","Earnings.Before.Interest.and.Tax","Earnings.Before.Tax","Effect.of.Exchange.Rate","Equity.Earnings.Loss.Unconsolidated.Subsidiary","Fixed.Assets","Goodwill","Gross.Margin","Gross.Profit","Income.Tax","Intangible.Assets","Interest.Expense","Inventory","Investments","Liabilities","Long.Term.Debt","Long.Term.Investments","Minority.Interest","Misc..Stocks","Net.Borrowings","Net.Cash.Flow","Net.Cash.Flow.Operating","Net.Cash.Flows.Financing","Net.Cash.Flows.Investing","Net.Income","Net.Income.Adjustments","Net.Income.Applicable.to.Common.Shareholders","Net.Income.Cont..Operations","Net.Receivables","Non.Recurring.Items","Operating.Income","Operating.Margin","Other.Assets","Other.Current.Assets","Other.Current.Liabilities","Other.Equity","Other.Financing.Activities","Other.Investing.Activities","Other.Liabilities","Other.Operating.Activities","Other.Operating.Items","Pre.Tax.Margin","Pre.Tax.ROE","Profit.Margin","Quick.Ratio","Research.and.Development","Retained.Earnings","Sale.and.Purchase.of.Stock","Sales..General.and.Admin.","Short.Term.Debt...Current.Portion.of.Long.Term.Debt","Short.Term.Investments","Total.Assets","Total.Current.Assets","Total.Current.Liabilities","Total.Equity","Total.Liabilities","Total.Liabilities...Equity","Total.Revenue","Treasury.Stock","For.Year","Earnings.Per.Share","Estimated.Shares.Outstanding"
"AAL","12/31/12",3.068e+09,-2.22e+08,-1.961e+09,23,-1.888e+09,4.695e+09,53,1.33e+09,0,1.27e+08,1.0499e+10,78,0,2.23e+08,1.001e+09,-1.813e+09,-2.445e+09,0,0,1.3402e+10,0,58,1.4356e+10,-5.69e+08,8.69e+08,6.32e+08,5.8e+08,3.06e+08,4.73e+08,7.116e+09,0,0,0,-1.02e+09,1.97e+08,1.285e+09,4.83e+08,-1.571e+09,-1.876e+09,2.05e+09,-1.876e+09,-4.084e+09,1.124e+09,3.86e+08,1.48e+08,1,2.167e+09,6.26e+08,4.524e+09,-2.98e+09,1.509e+09,1.1e+07,1.5147e+10,-1.41e+08,8.45e+08,10,31,8,72,0,-9.462e+09,0,1.2977e+10,1.419e+09,3.412e+09,2.351e+10,7.072e+09,9.011e+09,-7.987e+09,2.4891e+10,1.6904e+10,2.4855e+10,-3.67e+08,2012,-5.6,3.35e+08
"AAL","12/31/13",4.975e+09,-9.3e+07,-2.723e+09,67,-3.114e+09,1.0592e+10,75,2.175e+09,0,5e+06,1.1019e+10,104,0,9.35e+08,1.02e+09,-1.324e+09,-2.18e+09,0,0,1.9259e+10,4.086e+09,59,1.5724e+10,-3.46e+08,2.311e+09,8.56e+08,1.012e+09,-1.181e+09,-2.35e+08,1.5353e+10,0,0,0,2.208e+09,6.6e+08,6.75e+08,3.799e+09,-3.814e+09,-1.834e+09,1.873e+09,-1.834e+09,-4.489e+09,1.56e+09,5.59e+08,1.399e+09,5,2.299e+09,1.465e+09,7.385e+09,-2.032e+09,1.711e+09,4.81e+08,1.4915e+10,-5.6e+07,8.53e+08,8,80,7,96,0,-1.1296e+10,0,1.2913e+10,1.446e+09,8.111e+09,4.2278e+10,1.4323e+10,1.3806e+10,-2.731e+09,4.5009e+10,4.2278e+10,2.6743e+10,0,2013,-11.25,163022222.2
"AAL","12/31/14",4.668e+09,-1.6e+08,-1.5e+08,143,-5.311e+09,1.5135e+10,60,1.768e+09,0,7e+06,1.562e+10,88,0,8.29e+08,1.342e+09,4.099e+09,3.212e+09,0,0,2.3084e+10,4.091e+09,63,2.703e+10,3.3e+08,2.24e+09,8.87e+08,1.004e+09,1.799e+09,-1.026e+09,1.6043e+10,0,0,0,1.7e+08,-1.46e+08,3.08e+09,-3.15e+08,-2.911e+09,2.882e+09,5.42e+08,2.882e+09,2.882e+09,1.771e+09,8e+08,4.249e+09,10,2.06e+09,8.98e+08,7.059e+09,-4.559e+09,8.17e+08,6.01e+08,1.0928e+10,-5e+08,1.295e+09,8,159,7,80,0,-8.562e+09,-1.052e+09,2.0686e+10,1.677e+09,6.309e+09,4.3225e+10,1.175e+10,1.3404e+10,2.021e+09,4.1204e+10,4.3225e+10,4.265e+10,0,2014,4.02,716915422.9
"AAL","12/31/15",5.102e+09,3.52e+08,-7.08e+08,135,-6.151e+09,1.1591e+10,51,1.085e+09,0,6e+06,1.1096e+10,73,2.477e+09,6.67e+08,1.487e+09,5.496e+09,4.616e+09,0,0,2.751e+10,4.091e+09,73,2.9894e+10,-2.994e+09,2.249e+09,8.8e+08,8.63e+08,4.43e+08,-6.33e+08,1.833e+10,0,0,0,2.856e+09,-6.04e+08,6.249e+09,-1.259e+09,-5.594e+09,7.61e+09,-2.662e+09,7.61e+09,7.61e+09,1.425e+09,1.051e+09,6.204e+09,15,2.103e+09,7.48e+08,6.272e+09,-4.732e+09,9.6e+07,1.14e+08,1.0178e+10,9.5e+07,1.364e+09,11,82,19,67,0,-1.23e+09,-3.846e+09,2.1275e+10,2.231e+09,5.864e+09,4.8415e+10,9.985e+09,1.3605e+10,5.635e+09,4.278e+10,4.8415e+10,4.099e+10,0,2015,11.39,668129938.5
"AAP","12/29/12",2409453000,-89482000,6e+05,32,-271182000,520215000,23,598111000,-260298000,7000,3106967000,124,0,0,189544000,657915000,624074000,0,0,1292547000,76389000,50,3098036000,236404000,28845000,33841000,2308609000,0,426323000,604461000,0,0,0,177445000,540210000,685281000,127907000,-272978000,387670000,23311000,387670000,387670000,229866000,0,657315000,11,31833000,47614000,149558000,2667000,-33499000,-1796000,239021000,8213000,0,10,52,6,34,0,714900000,-18600000,2440721000,627000,0,4613814000,3184200000,2559638000,1210694000,3403120000,4613814000,6205003000,-27095000,2012,5.29,73283553.88
"AAP","12/28/13",2609239000,-32428000,2698000,26,-195757000,531293000,40,1112471000,-203513000,7000,3241668000,144,0,0,207795000,663016000,626398000,0,0,1286034000,199835000,50,3252146000,234640000,49872000,36618000,2556557000,0,172715000,1052668000,0,0,0,445679000,514360000,545250000,331217000,-362107000,391758000,-2088000,391758000,391758000,277595000,0,660318000,10,39649000,42761000,154630000,3683000,-27209000,-166350000,231116000,11011000,0,10,41,6,52,0,1089112000,-77184000,2591828000,916000,0,5564774000,3989384000,2764785000,1516205000,4048569000,5564774000,6493814000,-107890000,2013,5.36,73089179.1
"AAP","1/3/15",3616038000,-48209000,3092000,25,-228446000,562945000,3,104671000,-227657000,7000,5390248000,130,0,446351000,284693000,854802000,781394000,-4465000,0,1432030000,995426000,45,4453613000,287569000,748125000,73408000,3936955000,0,194223000,1636311000,0,0,0,599619000,-1007800000,708991000,575911000,-2288237000,493825000,75598000,493825000,493825000,579825000,0,851710000,9,45737000,119589000,37796000,-12337000,-18039000,-2059791000,222368000,-63482000,0,8,39,5,22,0,1565341000,1424000,3601903000,582000,0,7962358000,4741040000,3654416000,2002912000,5959446000,7962358000,9843861000,-113044000,2014,6.75,73159259.26
"AAP","1/2/16",3757085000,-21476000,-7484000,19,-234747000,603332000,2,90782000,-244096000,7000,5314246000,130,0,433925000,269476000,818296000,752888000,-4213000,0,1434577000,989484000,45,4422772000,279490000,687125000,65408000,4174768000,0,174667000,1213161000,0,0,0,-426322000,-13889000,689642000,-445952000,-253366000,473398000,30250000,473398000,473398000,597788000,0,825780000,8,82633000,77408000,39794000,-44059000,-13492000,-18619000,229354000,7423000,0,8,31,5,20,0,2021077000,-1491000,3596992000,598000,0,8134565000,4940746000,3797477000,2460648000,5673917000,8134565000,9737018000,-119709000,2015,6.45,73395038.76
"AAPL","9/28/13",3.6223e+10,-1.949e+09,1.156e+09,30,-8.165e+09,0,93,1.4259e+10,-9.73e+08,1.9764e+10,1.07e+11,168,0,2.625e+09,6.757e+09,5.0155e+10,5.0155e+10,0,0,1.6597e+10,1.577e+09,38,6.4304e+10,1.3118e+10,4.179e+09,0,1.764e+09,-2.4042e+10,8.32e+09,1.696e+10,1.06e+11,0,0,1.6896e+10,3.513e+09,5.3666e+10,-1.6379e+10,-3.3774e+10,3.7037e+10,3.394e+09,3.7037e+10,3.7037e+10,2.4094e+10,0,4.8999e+10,29,5.146e+09,6.882e+09,7.435e+09,-4.71e+08,-1.082e+09,-1.567e+09,2.0208e+10,1.08e+09,0,29,41,22,164,4.475e+09,1.04e+11,-2.233e+10,1.083e+10,0,2.6287e+10,2.07e+11,7.3286e+10,4.3658e+10,1.24e+11,8.3451e+10,2.07e+11,1.71e+11,0,2013,40.03,925231076.7
"AAPL","9/27/14",4.8649e+10,-6.452e+09,9.8e+08,35,-9.571e+09,0,40,1.3844e+10,-7.6e+07,2.3313e+10,1.12e+11,108,0,3.031e+09,7.946e+09,5.3483e+10,5.3483e+10,0,0,2.0624e+10,4.616e+09,39,7.0537e+10,1.3973e+10,4.142e+09,0,2.111e+09,-9.027e+09,1.3408e+10,2.8987e+10,1.3e+11,0,0,1.8266e+10,-4.15e+08,5.9713e+10,-3.7549e+10,-2.2579e+10,3.951e+10,5.21e+09,3.951e+10,3.951e+10,3.1537e+10,0,5.2503e+10,29,3.764e+09,9.806e+09,8.491e+09,1.082e+09,-1.158e+09,-3.981e+09,2.4826e+10,1.67e+08,0,29,48,22,105,6.041e+09,8.7152e+10,-4.427e+10,1.1993e+10,6.308e+09,1.1233e+10,2.32e+11,6.8531e+10,6.3448e+10,1.12e+11,1.2e+11,2.32e+11,1.83e+11,0,2014,6.49,6087827427
"AAPL","9/26/15",6.0671e+10,-3.124e+09,1.285e+09,45,-1.1247e+10,0,52,2.112e+10,-2.38e+08,2.7416e+10,1.4e+11,111,0,3.624e+09,1.1257e+10,7.2515e+10,7.2515e+10,0,0,2.2471e+10,5.116e+09,40,9.3626e+10,1.9121e+10,3.893e+09,0,2.349e+09,-4.4417e+10,1.5188e+10,5.3329e+10,1.64e+11,0,0,2.9305e+10,7.276e+09,8.1266e+10,-1.7716e+10,-5.6274e+10,5.3394e+10,4.968e+09,5.3394e+10,5.3394e+10,3.0343e+10,0,7.123e+10,30,5.422e+09,1.5085e+10,8.94e+09,-3.45e+08,-1.499e+09,-6.1e+08,3.3427e+10,-1.79e+08,0,31,61,23,108,8.067e+09,9.2284e+10,-3.471e+10,1.4329e+10,1.0999e+10,2.0481e+10,2.9e+11,8.9378e+10,8.061e+10,1.19e+11,1.71e+11,2.9e+11,2.34e+11,0,2015,9.28,5753663793
"AAPL","9/24/16",5.9321e+10,1.044e+09,1.348e+09,36,-1.2734e+10,0,85,2.0484e+10,2.17e+08,3.1251e+10,1.31e+11,135,0,2.93e+09,1.0505e+10,6.1372e+10,6.1372e+10,0,0,2.701e+10,5.414e+09,39,8.4263e+10,1.5685e+10,3.206e+09,0,2.132e+09,-3.2022e+10,-1.867e+09,7.5427e+10,1.7e+11,0,0,2.2057e+10,-6.36e+08,6.5824e+10,-2.0483e+10,-4.5977e+10,4.5687e+10,9.148e+09,4.5687e+10,4.5687e+10,2.9299e+10,0,6.0024e+10,28,8.757e+09,8.283e+09,8.08e+09,6.34e+08,-1.57e+09,-1.221e+09,3.6074e+10,1.09e+09,0,28,48,21,133,1.0045e+10,9.6364e+10,-2.9227e+10,1.4194e+10,1.1605e+10,4.6671e+10,3.22e+11,1.07e+11,7.9006e+10,1.28e+11,1.93e+11,3.22e+11,2.16e+11,0,2016,8.35,5471497006
"ABBV","12/31/12",5.734e+09,2.23e+08,-8e+06,1507,-3.33e+08,0,118,5.901e+09,-2.03e+08,0,4.508e+09,227,0,0,1.15e+09,5.809e+09,5.725e+09,1.6e+07,0,2.247e+09,6.13e+09,75,1.3872e+10,4.5e+08,2.323e+09,8.4e+07,1.091e+09,-1.397e+09,-7.31e+08,1.463e+10,1.19e+08,0,3.713e+09,1.5586e+10,5.874e+09,6.345e+09,1.931e+09,-2.418e+09,5.275e+09,5.41e+08,5.275e+09,5.275e+09,4.967e+09,2.88e+08,5.817e+09,32,8.35e+08,1.32e+09,0,-3.5e+08,-1.3655e+10,-6.88e+08,2.239e+09,9e+07,0,31,1636,29,210,2.778e+09,0,0,4.989e+09,1.042e+09,2.075e+09,2.7008e+10,1.5354e+10,6.776e+09,-3.5e+08,2.7358e+10,2.7008e+10,1.838e+10,0,NA,NA,NA
"ABBV","12/31/13",6.448e+09,6.81e+08,-5.4e+07,92,-4.91e+08,3.671e+09,144,9.595e+09,-5.6e+07,1.6e+07,4.581e+09,259,0,0,8.97e+08,5.61e+09,5.332e+09,-1e+07,0,2.298e+09,6.277e+09,76,1.4209e+10,1.204e+09,1.89e+09,2.78e+08,1.15e+09,1.775e+09,-4.26e+08,1.4292e+10,1.18e+08,0,0,-6.01e+08,3.694e+09,6.267e+09,-3.442e+09,8.79e+08,4.128e+09,5.84e+08,4.128e+09,4.128e+09,5.569e+09,3.38e+08,5.664e+09,30,7.67e+08,1.234e+09,0,-4.42e+08,-3.13e+08,-4.05e+08,3.535e+09,4.59e+08,0,28,119,22,243,2.855e+09,1.567e+09,2.7e+07,5.352e+09,4.31e+08,3e+08,2.9198e+10,1.7848e+10,6.879e+09,4.492e+09,2.4706e+10,2.9198e+10,1.879e+10,-3.2e+08,2013,2.58,1.6e+09
"ABBV","12/31/14",6.954e+09,-1.72e+08,-6.51e+08,102,-6.12e+08,4.194e+09,74,8.348e+09,-2.03e+08,1.6e+07,4.426e+09,141,0,1.59e+08,7.86e+08,2.76e+09,2.369e+09,-5.77e+08,0,2.485e+09,5.862e+09,78,1.5534e+10,5.95e+08,1.513e+09,3.91e+08,1.124e+09,3.08e+08,-1.93e+08,1.0538e+10,9.2e+07,0,0,-5e+06,-1.247e+09,3.549e+09,-3.293e+09,-9.26e+08,1.774e+09,1.777e+09,1.774e+09,1.774e+09,4.631e+09,3.52e+08,3.411e+09,17,1.48e+09,1.952e+09,0,-2.031e+09,-5.9e+07,-6.22e+08,3.681e+09,-2.2e+08,0,12,136,9,131,3.297e+09,5.35e+08,-4.27e+08,8.474e+09,4.439e+09,2.6e+07,2.7513e+10,1.6081e+10,1.1393e+10,1.742e+09,2.5771e+10,2.7513e+10,1.996e+10,-9.72e+08,2014,1.11,1598198198
"ABBV","12/31/15",8.463e+09,-1.076e+09,-2.06e+08,130,-5.32e+08,1.308e+10,77,8.399e+09,-4.34e+08,1.7e+07,4.5e+09,150,0,5.276e+09,8.36e+08,7.331e+09,6.645e+09,-3e+08,0,2.565e+09,1.3168e+10,80,1.8359e+10,1.501e+09,1.9709e+10,6.86e+08,1.719e+09,2.9e+07,1.503e+09,2.924e+10,1.45e+08,0,0,1.6623e+10,5.1e+07,7.535e+09,5.752e+09,-1.2936e+10,5.144e+09,1.051e+09,5.144e+09,5.144e+09,4.73e+09,1.5e+08,7.537e+09,33,1.149e+09,1.458e+09,0,-2.561e+09,3e+07,-1.2433e+10,3.695e+09,5.11e+08,0,29,168,23,134,4.285e+09,2.248e+09,-7.425e+09,6.387e+09,2.431e+09,8e+06,5.305e+10,1.6314e+10,1.0894e+10,3.945e+09,4.9105e+10,5.305e+10,2.2859e+10,-8.839e+09,2015,3.15,1633015873
"ABC","9/30/13",14870635000,-2312518000,-44000,19,-202450000,2360992000,8,1231006000,-1486572000,2678000,85451348000,97,0,0,170793000,898355000,824458000,0,0,803561000,0,3,2507819000,331023000,3499713000,73897000,6981494000,0,3830847000,1396606000,0,0,0,0,164398000,788125000,-740987000,117260000,433707000,235476000,433707000,493435000,6051920000,0,898399000,1,221713000,129231000,0,-35483000,-50538000,319710000,331652000,-169745000,162186000,1,36,0,50,0,1508414000,-328463000,1447234000,0,0,18918638000,14393651000,14870635000,2319745000,16598893000,18918638000,87959167000,-1516856000,2013,1.88,230695212.8
"ABC","9/30/14",17250160000,-938286000,-28594000,14,-264457000,2749185000,10,1808513000,-1304569000,2711000,1.17e+11,97,0,241205000,196617000,753497000,669863000,0,0,899582000,0,2,2982366000,388087000,3481744000,83634000,8593852000,-117794000,2310596000,1995632000,0,0,0,566402000,577507000,1464654000,-502992000,-384155000,274230000,912505000,274230000,281776000,6312883000,0,782091000,1,350652000,84957000,0,-52046000,0,-1904000,88287000,21107000,188680000,1,34,0,48,0,1570429000,-626020000,2011595000,0,0,21532183000,16800205000,17250160000,1956899000,19575284000,21532183000,1.2e+11,-2313380000,2014,1.22,224778688.5
"ABC","9/30/15",21578227000,-1478793000,-44220000,22,-231585000,3736477000,10,2167442000,-1379189000,2750000,1.32e+11,94,0,1944240000,255988000,3.78e+08,268964000,0,0,1192510000,4144391000,3,3529313000,407129000,1993119000,109036000,9755094000,-86214000,5122127000,3739225000,0,0,0,1496390000,358929000,3922228000,-632134000,-2931165000,-138165000,1577391000,-138165000,-138165000,8222951000,0,422220000,0,298474000,189001000,0,-136333000,0,-2613366000,84904000,-37131000,248635000,0,44,0,49,0,1164489000,-1665115000,2858458000,0,0,27962982000,20334488000,21578227000,616386000,27346596000,27962982000,1.36e+11,-4150997000,2015,-0.62,222846774.2
"ABC","9/30/16",24670159000,-912724000,5048000,67,-464616000,4333001000,11,2741832000,-1107252000,2778000,1.43e+11,90,0,2214774000,392166000,1530822000,1390910000,0,0,1530682000,5991497000,3,4272606000,-37019000,2967849000,139912000,10723920000,40712000,3094340000,3870244000,0,0,0,713214000,574390000,3178497000,565072000,-3169179000,1427929000,330197000,1427929000,1427929000,9175876000,0,1525774000,1,314325000,210219000,0,-114308000,0,-2745275000,160470000,-46159000,364735000,1,65,1,48,0,2303941000,168903000,2382097000,611149000,0,33656200000,22851847000,25281308000,2129404000,31526796000,33656200000,1.47e+11,-4396008000,2016,6.73,212173699.9
"ABT","12/31/12",1.0889e+10,3.6e+07,-1.26e+09,22,-1.795e+09,0,114,1.0802e+10,-4.17e+08,1.1755e+10,8.899e+09,236,3.213e+09,0,2.782e+09,1e+08,-2.2e+08,4e+07,0,8.063e+09,1.5774e+10,53,1.0151e+10,-4.57e+08,8.588e+09,3.2e+08,3.793e+09,-3.062e+09,-1.443e+09,1.8085e+10,2.74e+08,9.2e+07,0,4.413e+09,3.989e+09,9.314e+09,1.95e+08,-5.56e+09,5.963e+09,2.428e+09,5.963e+09,2.37e+08,1.0599e+10,0,1.36e+09,7,0,1.757e+09,0,-3.594e+09,-5.21e+08,-7.03e+08,9.057e+09,-3.5e+07,5.95e+08,1,1,31,207,1.461e+09,2.4151e+10,-5.14e+08,6.735e+09,2.391e+09,4.372e+09,6.7235e+10,3.1323e+10,1.328e+10,2.6721e+10,4.0514e+10,6.7235e+10,1.905e+10,-5.591e+09,2012,3.76,1585904255
"ABT","12/31/13",5.948e+09,-1.13e+08,5.3e+07,10,-1.145e+09,0,85,3.475e+09,-1.54e+08,1.2048e+10,9.193e+09,202,2.109e+09,0,1.719e+09,2.186e+09,2.041e+09,-2.6e+07,0,5.971e+09,9.772e+09,53,1.0464e+10,5.3e+07,5.735e+09,1.45e+08,2.693e+09,-2.225e+09,-1.101e+09,3.388e+09,1.19e+08,9.6e+07,0,1.792e+09,-7.327e+09,3.324e+09,-6.696e+09,-3.929e+09,2.576e+09,2.66e+08,2.576e+09,1.988e+09,6.514e+09,0,2.133e+09,11,0,1.942e+09,3.86e+08,-2.012e+09,-6.396e+09,-5.59e+08,4.791e+09,1.31e+08,5.88e+08,10,8,13,174,1.371e+09,2.1979e+10,-1.21e+09,6.372e+09,3.173e+09,4.623e+09,4.2953e+10,1.9247e+10,9.507e+09,2.5171e+10,1.7782e+10,4.2953e+10,1.9657e+10,-6.844e+09,2013,1.64,1570731707
"ABT","12/31/14",5.35e+09,-1.95e+08,6.9e+07,11,-1.077e+09,0,43,4.063e+09,-2.97e+08,1.2383e+10,9.218e+09,130,3.288e+09,0,1.548e+09,2.668e+09,2.518e+09,-1.43e+08,0,7.869e+09,1.0067e+10,54,1.1029e+10,7.97e+08,6.198e+09,1.5e+08,2.643e+09,4.117e+09,-2.8e+07,3.393e+09,2.29e+08,1.13e+08,0,7.66e+08,5.88e+08,3.675e+09,-2.742e+09,-2.02e+08,2.284e+09,3.33e+08,2.284e+09,1.721e+09,3.586e+09,0,2.599e+09,13,0,2.867e+09,6.8e+08,-5.053e+09,-4e+08,-3.242e+09,5.708e+09,3e+07,5.55e+08,12,12,11,104,1.345e+09,2.2874e+10,-1.766e+09,6.53e+09,4.437e+09,3.97e+08,4.1207e+10,1.3556e+10,1.0467e+10,2.1526e+10,1.9681e+10,4.1207e+10,2.0247e+10,-8.678e+09,2014,1.5,1522666667
"ABT","12/31/15",5.683e+09,-1.71e+08,4.79e+08,21,-1.11e+09,0,67,5.001e+09,-2.57e+08,1.2734e+10,8.747e+09,154,2.119e+09,0,1.472e+09,3.346e+09,3.183e+09,-1.98e+08,0,5.732e+09,9.638e+09,57,1.1658e+10,5.77e+08,5.562e+09,1.63e+08,2.599e+09,-8.21e+08,2.15e+08,5.871e+09,4.041e+09,1.15e+08,0,1.147e+09,9.38e+08,2.966e+09,-2.236e+09,4.06e+08,4.423e+09,-2.773e+09,4.423e+09,2.606e+09,3.418e+09,0,2.867e+09,14,0,2.013e+09,3.73e+08,-6.658e+09,-1.7e+07,2.337e+09,4.864e+09,5.7e+07,6.01e+08,16,15,22,126,1.405e+09,2.5757e+10,-1.923e+09,6.785e+09,3.13e+09,1.124e+09,4.1247e+10,1.4155e+10,9.186e+09,2.1211e+10,2.0036e+10,4.1247e+10,2.0405e+10,-1.0622e+10,2015,2.94,1504421769
"ADBE","11/29/13",729257000,33649000,926000,4,-188358000,3392696000,208,834556000,0,61000,586557000,265,0,428902000,321227000,423649000,356141000,-5241000,0,659774000,4771981000,86,3468683000,66156000,605254000,67508000,0,-309116000,184502000,1499297000,207239000,0,0,-176000,-590496000,1151686000,-559138000,-1177803000,289985000,377832000,289985000,289985000,702067000,26497000,422723000,10,90121000,170110000,781715000,46103000,0,-680329000,201817000,-55509000,52254000,9,5,7,265,826631000,6928964000,-599224000,2140578000,14676000,2339196000,10380298000,4045929000,1525648000,6724634000,3655664000,10380298000,4055240000,-3643190000,2013,0.58,499974137.9
"ADBE","11/28/14",776163000,7928000,8423000,4,-148332000,3778495000,150,1117400000,0,61000,622080000,185,0,399716000,313590000,421108000,361376000,-6648000,0,785123000,4721962000,85,3524985000,92981000,469662000,59732000,0,-312573000,390070000,911086000,80439000,0,0,-14684000,282844000,1287482000,-507283000,-490707000,268395000,309417000,268395000,268395000,687079000,19883000,412685000,10,126315000,175758000,1115043000,-8094000,0,-29802000,204687000,-1918000,52424000,9,5,6,185,844353000,6924294000,-545834000,2195640000,603229000,2622091000,10785829000,4602328000,2494435000,6775905000,4009924000,10785829000,4147065000,-3918851000,2014,0.54,497027777.8
"ADBE","11/27/15",779356000,-79502000,34870000,9,-184936000,4184883000,180,876560000,0,61000,744317000,218,0,259303000,339473000,937965000,873781000,-21297000,0,787421000,5366881000,84,4051194000,244230000,510007000,64184000,0,-535197000,350908000,1907231000,80439000,0,0,387091000,-240840000,1469502000,-200687000,-1488358000,629551000,236773000,629551000,629551000,672006000,1559000,903095000,19,159832000,161802000,1434200000,-169080000,0,-768225000,344802000,-7701000,68649000,18,12,13,218,862730000,7253431000,-647103000,2215161000,0,3111524000,11726472000,4821892000,2213556000,7001580000,4724892000,11726472000,4795511000,-4267715000,2015,1.26,499643650.8
"ADBE","12/2/16",866016000,-160416000,11978000,16,-203805000,4616331000,169,1011315000,0,61000,819908000,208,0,286791000,331535000,1505580000,1435138000,-14234000,0,816264000,5406474000,86,5034522000,266356000,414405000,70442000,0,-707801000,551550000,1902068000,80439000,0,0,-108000,134755000,2199728000,-1090706000,-960033000,1168782000,379298000,1168782000,1168782000,833033000,-1508000,1493602000,26,149758000,245441000,1945619000,-173602000,0,-48427000,281785000,-71021000,78534000,25,19,20,208,975987000,8114517000,-1165703000,2487907000,0,3749985000,12707114000,5839774000,2811635000,7424835000,5282279000,12707114000,5854430000,-5132472000,NA,NA,NA
"ADI","11/2/13",323084000,12377000,89350000,14,-123074000,711879000,821,392089000,28527000,51842000,941278000,959,43590000,23401000,110416000,842425000,815323000,1394000,0,508171000,284112000,64,1692411000,141836000,28552000,27102000,283337000,-918720000,129162000,872241000,3816000,0,0,40982000,-136744000,912345000,-100557000,-949926000,673487000,-52408000,673487000,673487000,461443000,29848000,753075000,29,41084000,44733000,247428000,-80546000,-8455000,91868000,176020000,10784000,220000,31,17,26,910,513035000,4056401000,245748000,396233000,0,4290823000,6381750000,5472425000,570512000,4739576000,1642174000,6381750000,2633689000,0,2013,2.19,307528310.5
"ADI","11/1/14",430621000,-36460000,11645000,13,-177913000,643058000,404,569233000,24642000,51869000,1034585000,538,48359000,256901000,141970000,764129000,729345000,-3097000,0,622422000,1642438000,64,1830188000,100025000,671402000,34784000,367927000,2021104000,151692000,872789000,13397000,0,0,0,177144000,871602000,-576610000,-114751000,629320000,-44707000,629320000,629320000,525539000,37322000,752484000,26,49786000,51952000,278435000,-168526000,11616000,-1957942000,263047000,5145000,26020000,25,15,22,486,559686000,4231496000,-156232000,454676000,0,2297235000,6859690000,3811886000,709056000,4757897000,2101793000,6859690000,2864773000,0,2014,0.35,1798057143
"ADI","10/31/15",438904000,-71198000,6303000,14,-153960000,634484000,272,884353000,-35557000,52011000,1175830000,366,57033000,251129000,222240000,837144000,810114000,-3950000,0,644110000,1636526000,66,2259262000,113236000,583517000,27030000,412314000,152175000,89394000,495341000,17482000,0,0,0,315120000,907798000,-571603000,-17125000,696878000,-1366000,696878000,696878000,595768000,0,830841000,24,40561000,42538000,300087000,-50851000,-1267000,-15340000,125763000,7407000,88318000,24,16,20,329,637459000,4437315000,-104322000,702644000,374594000,2144575000,7058777000,4079548000,1113585000,5072959000,1985818000,7058777000,3435092000,0,2015,0.31,2247993548
"ADI","10/29/16",431396000,-9392000,17566000,17,-127397000,402270000,518,921132000,38221000,51363000,1194236000,635,62157000,136083000,209790000,1045678000,956921000,-2929000,0,636116000,1679116000,65,2227173000,95257000,549368000,88757000,376555000,-989183000,101593000,1732177000,21937000,0,0,857175000,36779000,1280895000,-22917000,-1218270000,861664000,88952000,861664000,861664000,477609000,13684000,1028112000,30,46721000,64906000,351538000,-73814000,-8787000,-101690000,153466000,-9933000,70123000,28,19,25,587,653816000,4785799000,-308565000,461438000,0,3134661000,7970278000,4974863000,782934000,5165618000,2804660000,7970278000,3421409000,0,2016,0.96,897566666.7
"ADM","12/31/12",9.308e+09,1.753e+09,2.35e+08,7,-1.24e+09,0,35,5.352e+09,-1.304e+09,6.134e+09,8.6936e+10,175,0,1.267e+09,8.69e+08,2.426e+09,1.981e+09,0,4.76e+08,1.0123e+10,0,4,3.623e+09,5.89e+08,7.59e+08,4.45e+08,1.3836e+10,-4.45e+08,1.345e+09,6.456e+09,3.887e+09,2.11e+08,0,4.37e+08,8.5e+08,2.332e+09,-3.21e+08,-1.161e+09,1.375e+09,1.56e+08,1.375e+09,1.851e+09,3.45e+09,2.43e+08,1.715e+09,2,6.05e+08,6.548e+09,0,-4.5e+08,-1.97e+08,5.24e+08,1.289e+09,-1.879e+09,0,2,10,2,94,0,1.3236e+10,-1e+08,1.665e+09,7.685e+09,5.76e+08,4.5136e+10,2.9762e+10,1.6993e+10,1.892e+10,2.6005e+10,4.4925e+10,9.0559e+10,0,NA,NA,NA
